timestamp,rmssd,coverage,low_frequency,high_frequency
2022-01-10T00:25:00,247.278,0.852,10797.547,9657.383
2022-01-10T00:30:00,233.355,0.925,1765.748,6616.333
2022-01-10T00:35:00,187.833,0.862,3410.068,3634.153
2022-01-10T00:40:00,103.203,0.891,2269.22,1358.791
2022-01-10T00:45:00,237.013,0.91,4789.698,5064.688
2022-01-10T00:50:00,196.823,0.736,2730.791,3496.096
2022-01-10T00:55:00,116.756,0.74,5338.89,1498.273
2022-01-10T01:00:00,126.014,0.764,1967.558,942.564
2022-01-10T01:05:00,285.463,0.9,8165.056,9663.229
2022-01-10T01:10:00,288.071,0.901,4221.445,8586.721
2022-01-10T01:15:00,290.997,0.836,5180.99,11035.848
2022-01-10T01:20:00,230.798,0.988,5985.93,7725.124
2022-01-10T01:25:00,269.313,0.834,10570.997,10105.987
2022-01-10T02:20:00,343.908,0.986,4075.53,12374.273
2022-01-10T02:25:00,348.246,1.002,4314.842,12594.386
2022-01-10T02:30:00,344.788,0.974,7646.33,13889.256
2022-01-10T02:35:00,356.397,0.994,5522.376,12383.982
2022-01-10T02:40:00,334.582,0.966,8265.837,12502.578
2022-01-10T02:45:00,300.002,0.869,12472.17,9717.716
2022-01-10T02:50:00,171.193,0.829,5426.919,3343.536
2022-01-10T02:55:00,187.573,0.8,4158.224,3553.401
2022-01-10T03:00:00,151.631,0.771,5554.134,2874.899
2022-01-10T03:05:00,225.786,0.714,10238.751,3662.618
2022-01-10T03:10:00,168.652,0.77,5450.372,3039.79
2022-01-10T03:15:00,172.127,0.839,6850.037,3418.183
2022-01-10T03:20:00,163.5,0.96,5789.491,3276.752
2022-01-10T03:25:00,197.281,0.81,6089.671,3855.457
2022-01-10T03:30:00,174.757,0.82,6800.693,4268.839
2022-01-10T03:35:00,179.334,0.81,3298.38,2248.914
2022-01-10T03:40:00,151.583,0.766,3324.128,2246.35
2022-01-10T03:45:00,161.372,0.704,7449.581,1753.726
2022-01-10T03:50:00,179.576,0.749,4083.369,2869.971
2022-01-10T03:55:00,195.286,0.81,3788.268,3586.33
2022-01-10T04:00:00,182.943,0.819,4753.931,2319.794
2022-01-10T04:05:00,221.276,0.827,3379.208,6135.32
2022-01-10T04:10:00,212.645,0.815,6832.498,3015.481
2022-01-10T04:15:00,158.856,0.727,6491.592,1858.916
2022-01-10T04:20:00,169.828,0.864,9810.464,2866.569
2022-01-10T04:25:00,181.209,0.823,9363.66,2179.252
2022-01-10T04:30:00,208.812,0.916,8481.801,4835.566
2022-01-10T04:35:00,160.357,0.922,2769.507,2280.834
2022-01-10T04:40:00,263.297,0.936,9154.431,6011.316
2022-01-10T04:45:00,233.934,0.873,7564.215,4992.022
2022-01-10T04:50:00,228.492,0.917,6132.024,8006.033
2022-01-10T04:55:00,159.279,0.731,10442.262,3387.001
2022-01-10T05:00:00,109.914,0.706,2821.495,1055.075
2022-01-10T05:05:00,135.482,0.795,2494.387,2266.813
2022-01-10T05:35:00,272.654,0.939,5606.389,8794.9
2022-01-10T05:40:00,301.686,0.936,7952.526,9774.185
2022-01-10T05:45:00,255.042,0.988,3899.367,6966.116
2022-01-10T05:50:00,273.09,0.964,4446.268,8349.689
2022-01-10T05:55:00,288.082,0.942,7533.207,11016.053
2022-01-10T06:00:00,231.906,0.938,9590.161,6097.872
2022-01-10T06:05:00,224.147,0.988,10070.453,6166.542
2022-01-10T06:10:00,212.21,0.884,11774.82,4458.989
