timestamp,rmssd,coverage,low_frequency,high_frequency
2022-03-24T00:00:00,70.173,0.935,468.99,1054.822
2022-03-24T00:05:00,67.531,1.004,250.423,1070.118
2022-03-24T00:10:00,68.049,1.003,178.576,998.733
2022-03-24T00:15:00,63.867,0.999,156.856,1043.477
2022-03-24T00:20:00,65.163,1.003,201.719,1016.576
2022-03-24T00:25:00,71.911,1.002,311.53,1258.246
2022-03-24T00:30:00,71.681,1.003,259.356,1210.781
2022-03-24T00:35:00,66.378,0.987,199.538,1123.474
2022-03-24T00:40:00,67.972,0.884,1938.19,938.949
2022-03-24T00:45:00,75.739,0.957,1225.902,1428.398
2022-03-24T00:50:00,74.107,0.977,357.376,1217.39
2022-03-24T00:55:00,76.687,0.95,242.746,1434.947
2022-03-24T01:00:00,72.687,0.913,1432.352,995.947
2022-03-24T01:05:00,70.948,0.893,1104.179,1156.439
2022-03-24T01:10:00,69.138,0.963,571.891,1136.595
2022-03-24T01:15:00,59.336,0.959,602.842,950.792
2022-03-24T01:20:00,55.196,0.874,393.906,466.314
2022-03-24T01:25:00,69.136,0.921,1077.72,906.187
2022-03-24T01:30:00,74.53,0.907,1013.629,1081.354
2022-03-24T01:35:00,75.471,0.889,946.602,1001.272
2022-03-24T01:40:00,76.15,0.871,988.405,998.902
2022-03-24T03:35:00,77.781,0.771,1493.857,943.65
2022-03-24T03:40:00,72.805,0.825,1013.904,912.225
2022-03-24T03:45:00,64.885,0.814,930.253,554.763
2022-03-24T03:50:00,57.882,0.723,1064.312,332.851
2022-03-24T03:55:00,77.21,0.754,713.858,806.152
2022-03-24T23:25:00,46.267,0.711,463.897,201.958
