timestamp,rmssd,coverage,low_frequency,high_frequency
2022-02-15T00:00:00,91.015,0.776,11044.374,852.643
2022-02-15T00:05:00,175.351,0.895,4990.695,5471.285
2022-02-15T00:10:00,166.23,0.984,1772.805,4511.728
2022-02-15T00:15:00,163.619,1.003,1781.975,4924.56
2022-02-15T00:20:00,151.321,0.975,2608.53,4501.687
2022-02-15T00:25:00,147.792,0.958,2806.164,3057.066
2022-02-15T00:30:00,132.205,1.0,3092.535,2284.852
2022-02-15T00:35:00,173.379,0.888,3648.881,3228.864
2022-02-15T00:40:00,189.516,0.924,3573.375,4713.688
2022-02-15T00:45:00,140.663,0.783,6983.464,1737.349
2022-02-15T00:50:00,172.178,0.924,2918.654,4190.627
2022-02-15T00:55:00,163.855,0.973,1805.893,4583.912
2022-02-15T01:00:00,224.552,0.855,10459.145,6770.351
2022-02-15T01:05:00,207.05,0.938,3798.236,7464.372
2022-02-15T01:10:00,166.317,0.97,3036.117,3948.621
2022-02-15T01:15:00,156.528,0.968,2105.546,3710.952
2022-02-15T01:20:00,155.146,0.933,2344.54,3825.896
2022-02-15T01:25:00,166.216,0.977,1579.961,3851.118
2022-02-15T01:30:00,173.137,0.951,1980.578,4231.994
2022-02-15T01:35:00,192.143,0.915,3194.731,5433.23
2022-02-15T01:40:00,221.193,0.942,3323.707,5950.132
2022-02-15T01:45:00,234.016,0.894,6150.342,7113.258
2022-02-15T01:50:00,244.962,0.824,7090.084,5693.435
2022-02-15T01:55:00,194.356,0.776,3655.889,3778.002
2022-02-15T02:00:00,127.974,0.872,2422.181,1537.551
2022-02-15T02:05:00,106.678,0.937,1611.151,1163.58
2022-02-15T02:10:00,99.771,0.845,3033.309,1266.937
2022-02-15T02:15:00,113.61,0.808,4169.02,1772.702
2022-02-15T02:20:00,199.071,0.903,4486.579,7514.566
2022-02-15T02:25:00,193.272,0.965,4780.27,6646.852
2022-02-15T02:30:00,175.731,0.895,5414.205,4010.797
2022-02-15T02:35:00,165.314,0.941,3074.148,4748.235
2022-02-15T02:40:00,192.551,0.981,8986.707,5409.953
2022-02-15T03:00:00,125.838,0.703,2939.224,725.238
2022-02-15T03:10:00,144.566,0.791,5188.759,2602.499
2022-02-15T03:15:00,159.206,0.814,2960.869,2162.05
2022-02-15T03:20:00,139.563,0.817,1864.794,2287.794
2022-02-15T03:25:00,124.048,0.717,2448.071,708.372
2022-02-15T03:30:00,128.206,0.714,3111.548,1063.676
2022-02-15T03:40:00,249.293,0.925,5129.707,9944.32
2022-02-15T03:45:00,246.642,0.898,3948.468,7263.865
2022-02-15T03:50:00,226.78,0.915,6562.681,7186.171
2022-02-15T03:55:00,102.082,0.966,2306.578,1307.642
2022-02-15T04:00:00,153.558,0.857,7966.345,2427.927
2022-02-15T04:05:00,223.888,0.885,7181.416,3726.582
2022-02-15T04:10:00,220.167,0.918,3438.59,6008.673
2022-02-15T04:15:00,231.175,0.907,4034.466,6477.172
2022-02-15T04:20:00,255.814,0.917,3276.747,7057.593
2022-02-15T04:25:00,152.431,0.759,5150.436,2361.87
2022-02-15T04:30:00,87.613,0.839,1592.009,1110.919
2022-02-15T04:40:00,175.687,0.917,10847.194,4188.474
2022-02-15T04:45:00,266.389,0.898,6789.679,10601.344
2022-02-15T04:50:00,270.338,0.928,4753.264,9080.998
2022-02-15T04:55:00,240.6,0.933,5407.139,8638.656
2022-02-15T05:00:00,214.354,0.915,6196.748,5877.973
2022-02-15T05:05:00,230.151,0.973,3363.523,7550.235
2022-02-15T05:10:00,219.493,1.009,1768.666,7691.708
2022-02-15T05:15:00,226.931,0.861,3864.034,5918.922
2022-02-15T05:20:00,256.028,0.957,4088.115,8898.546
2022-02-15T05:25:00,234.396,0.977,9686.991,7464.879
2022-02-15T05:30:00,209.871,0.859,9214.249,3929.815
2022-02-15T05:35:00,104.403,0.739,3695.855,946.043
2022-02-15T05:40:00,79.215,0.762,2018.829,406.748
2022-02-15T05:45:00,102.26,0.863,5832.723,910.897
2022-02-15T05:50:00,108.979,0.898,1824.507,1511.951
2022-02-15T05:55:00,68.154,0.903,1481.081,621.742
2022-02-15T06:05:00,100.989,0.852,1316.688,1096.32
2022-02-15T06:10:00,98.614,0.783,3441.513,1221.278
2022-02-15T06:15:00,129.087,0.89,3992.79,2626.012
2022-02-15T06:20:00,221.206,0.926,6078.723,7291.749
2022-02-15T06:25:00,184.57,0.921,5510.013,5509.237
2022-02-15T06:30:00,191.717,0.922,5875.949,4900.218
2022-02-15T06:35:00,201.004,0.993,2958.578,6403.023
2022-02-15T06:40:00,169.455,0.983,2551.676,3913.686
2022-02-15T06:45:00,163.433,1.001,3362.028,4124.938
2022-02-15T06:50:00,135.764,0.984,1614.305,2711.235
2022-02-15T06:55:00,140.983,0.955,1741.121,3127.031
2022-02-15T07:00:00,136.242,0.739,2309.108,2733.354
2022-02-15T21:50:00,97.517,0.781,597.764,1824.821
2022-02-15T21:55:00,132.49,0.99,7384.845,3689.456
