timestamp,rmssd,coverage,low_frequency,high_frequency
2022-02-07T01:15:00,712.535,0.746,28550.66,48824.821
2022-02-07T03:50:00,85.569,0.853,897.039,1153.736
2022-02-07T03:55:00,108.778,0.721,2715.761,1540.972
2022-02-07T04:15:00,95.41,0.723,3647.861,1338.199
2022-02-07T05:00:00,165.949,0.808,3496.674,4117.157
2022-02-07T05:05:00,274.488,0.867,6579.486,7353.348
2022-02-07T05:10:00,253.047,0.858,6781.391,7871.729
2022-02-07T05:15:00,240.649,0.771,5330.547,6852.297
2022-02-07T05:20:00,197.537,0.827,6945.006,5592.04
2022-02-07T05:25:00,133.352,0.82,2828.886,1707.802
2022-02-07T05:30:00,105.896,0.769,1254.252,1320.703
2022-02-07T05:35:00,120.762,0.887,2034.209,2406.964
2022-02-07T05:40:00,82.101,0.786,2278.885,944.639
2022-02-07T05:55:00,97.94,0.896,1353.615,1190.49
2022-02-07T06:00:00,68.77,0.941,1774.669,744.345
2022-02-07T06:05:00,71.311,0.77,1154.403,500.291
2022-02-07T06:10:00,123.914,0.816,2917.954,2028.747
2022-02-07T06:15:00,136.212,0.863,4201.04,2379.204
2022-02-07T06:20:00,100.794,0.77,1780.314,1431.343
2022-02-07T06:25:00,95.926,0.758,918.208,1160.616
2022-02-07T06:30:00,80.779,0.859,2797.691,1017.251
2022-02-07T06:35:00,98.348,0.986,931.976,1615.852
2022-02-07T06:40:00,92.985,0.959,916.999,1392.456
2022-02-07T06:45:00,84.264,0.957,1181.148,1079.041
2022-02-07T06:50:00,92.6,0.932,1659.212,1251.448
2022-02-07T06:55:00,86.117,0.879,885.969,1361.716
2022-02-07T21:15:00,96.532,0.934,1436.005,1496.872
2022-02-07T21:20:00,112.707,0.865,1495.871,2335.473
2022-02-07T21:40:00,98.116,0.814,1153.765,1210.349
2022-02-07T21:45:00,90.403,0.769,861.616,1213.713
2022-02-07T21:50:00,91.036,0.733,1419.339,522.998
2022-02-07T21:55:00,83.886,0.705,1518.668,604.918
2022-02-07T22:00:00,115.072,0.902,5535.375,2210.143
2022-02-07T22:05:00,104.554,0.804,1386.26,1802.224
2022-02-07T22:10:00,105.485,0.954,393.961,2283.505
2022-02-07T22:15:00,101.423,0.834,3231.688,1226.696
2022-02-07T22:20:00,113.342,0.92,1113.28,2179.877
2022-02-07T22:25:00,124.544,0.761,1623.27,1799.179
2022-02-07T22:30:00,113.728,0.855,1160.677,2630.644
2022-02-07T22:35:00,104.908,0.899,1552.798,2383.812
2022-02-07T22:40:00,90.683,0.888,1786.824,1681.297
2022-02-07T22:45:00,77.442,0.868,423.325,1184.586
2022-02-07T22:50:00,90.968,0.886,1190.051,1810.269
2022-02-07T22:55:00,80.386,0.886,1501.938,988.981
2022-02-07T23:00:00,74.007,0.892,601.744,944.045
2022-02-07T23:05:00,80.85,0.813,1187.996,598.57
2022-02-07T23:10:00,83.966,0.803,770.421,869.641
2022-02-07T23:20:00,92.146,0.892,3313.268,1512.493
2022-02-07T23:25:00,123.608,0.964,1033.219,2897.933
2022-02-07T23:30:00,120.014,0.995,1214.888,2557.907
2022-02-07T23:35:00,138.533,0.993,804.678,2732.71
2022-02-07T23:40:00,136.632,0.997,743.212,3803.128
2022-02-07T23:45:00,147.15,1.005,1021.383,4164.131
2022-02-07T23:50:00,154.111,0.992,917.738,3958.152
2022-02-07T23:55:00,136.488,0.941,2729.11,2598.917
