recorded_time,temperature,sensor_type
2022-02-07T00:00,-2.2702391084698377,UNKNOWN
2022-02-07T00:01,-2.570239108469835,UNKNOWN
2022-02-07T00:02,-2.6702391084698363,UNKNOWN
2022-02-07T00:03,-2.6702391084698363,UNKNOWN
2022-02-07T00:04,-2.570239108469835,UNKNOWN
2022-02-07T00:05,-2.3702391084698355,UNKNOWN
2022-02-07T00:06,-1.8702391084698355,UNKNOWN
2022-02-07T00:07,-1.2702391084698377,UNKNOWN
2022-02-07T00:08,-1.1702391084698363,UNKNOWN
2022-02-07T00:09,-1.2702391084698377,UNKNOWN
2022-02-07T00:10,-1.470239108469837,UNKNOWN
2022-02-07T00:11,-1.6702391084698363,UNKNOWN
2022-02-07T00:12,-1.970239108469837,UNKNOWN
2022-02-07T00:13,-1.970239108469837,UNKNOWN
2022-02-07T00:14,-2.1702391084698363,UNKNOWN
2022-02-07T00:15,-2.3702391084698355,UNKNOWN
2022-02-07T00:16,-2.3702391084698355,UNKNOWN
2022-02-07T00:17,-2.2702391084698377,UNKNOWN
2022-02-07T00:18,-2.470239108469837,UNKNOWN
2022-02-07T00:19,-2.6702391084698363,UNKNOWN
2022-02-07T00:20,-2.570239108469835,UNKNOWN
2022-02-07T00:21,-2.570239108469835,UNKNOWN
2022-02-07T00:22,-2.570239108469835,UNKNOWN
2022-02-07T00:23,-2.570239108469835,UNKNOWN
2022-02-07T00:24,-2.570239108469835,UNKNOWN
2022-02-07T00:25,-2.6702391084698363,UNKNOWN
2022-02-07T00:26,-2.7702391084698377,UNKNOWN
2022-02-07T00:27,-2.8702391084698355,UNKNOWN
2022-02-07T00:28,-2.970239108469837,UNKNOWN
2022-02-07T00:29,-3.070239108469835,UNKNOWN
2022-02-07T00:30,-2.970239108469837,UNKNOWN
2022-02-07T00:31,-3.070239108469835,UNKNOWN
2022-02-07T00:32,-3.3702391084698355,UNKNOWN
2022-02-07T00:33,-3.3702391084698355,UNKNOWN
2022-02-07T00:34,-3.470239108469837,UNKNOWN
2022-02-07T00:35,-3.570239108469835,UNKNOWN
2022-02-07T00:36,-3.7702391084698377,UNKNOWN
2022-02-07T00:37,-3.570239108469835,UNKNOWN
2022-02-07T00:38,-3.470239108469837,UNKNOWN
2022-02-07T00:39,-3.570239108469835,UNKNOWN
2022-02-07T00:40,-3.570239108469835,UNKNOWN
2022-02-07T00:41,-3.570239108469835,UNKNOWN
2022-02-07T00:42,-3.470239108469837,UNKNOWN
2022-02-07T00:43,-3.570239108469835,UNKNOWN
2022-02-07T00:44,-3.570239108469835,UNKNOWN
2022-02-07T00:45,-3.6702391084698363,UNKNOWN
2022-02-07T00:46,-3.6702391084698363,UNKNOWN
2022-02-07T00:47,-3.7702391084698377,UNKNOWN
2022-02-07T00:48,-3.7702391084698377,UNKNOWN
2022-02-07T00:49,-3.7702391084698377,UNKNOWN
2022-02-07T00:50,-3.6702391084698363,UNKNOWN
2022-02-07T00:51,-3.470239108469837,UNKNOWN
2022-02-07T00:52,-3.470239108469837,UNKNOWN
2022-02-07T00:53,-3.470239108469837,UNKNOWN
2022-02-07T00:54,-3.470239108469837,UNKNOWN
2022-02-07T00:55,-3.2702391084698377,UNKNOWN
2022-02-07T00:56,-3.1702391084698363,UNKNOWN
2022-02-07T00:57,-3.1702391084698363,UNKNOWN
2022-02-07T00:58,-3.070239108469835,UNKNOWN
2022-02-07T00:59,-3.070239108469835,UNKNOWN
2022-02-07T01:00,-3.070239108469835,UNKNOWN
2022-02-07T01:01,-2.970239108469837,UNKNOWN
2022-02-07T01:02,-2.970239108469837,UNKNOWN
2022-02-07T01:03,-2.970239108469837,UNKNOWN
2022-02-07T01:04,-2.7702391084698377,UNKNOWN
2022-02-07T01:05,-2.6702391084698363,UNKNOWN
2022-02-07T01:06,-2.470239108469837,UNKNOWN
2022-02-07T01:07,-2.2702391084698377,UNKNOWN
2022-02-07T01:08,-2.070239108469835,UNKNOWN
2022-02-07T01:09,-1.8702391084698355,UNKNOWN
2022-02-07T01:10,-1.7702391084698377,UNKNOWN
2022-02-07T01:11,-1.6702391084698363,UNKNOWN
2022-02-07T01:12,-1.470239108469837,UNKNOWN
2022-02-07T01:13,-1.2702391084698377,UNKNOWN
2022-02-07T01:14,-1.0702391084698348,UNKNOWN
2022-02-07T01:15,-0.8702391084698355,UNKNOWN
2022-02-07T01:16,-0.7702391084698377,UNKNOWN
2022-02-07T01:17,-0.6702391084698363,UNKNOWN
2022-02-07T01:18,-0.4702391084698334,UNKNOWN
2022-02-07T01:19,-0.2702391084698377,UNKNOWN
2022-02-07T01:20,-0.07023910846983483,UNKNOWN
2022-02-07T01:21,0.1297608915301609,UNKNOWN
2022-02-07T01:22,0.32976089153016375,UNKNOWN
2022-02-07T01:23,0.42976089153016517,UNKNOWN
2022-02-07T01:24,0.6297608915301609,UNKNOWN
2022-02-07T01:25,0.6297608915301609,UNKNOWN
2022-02-07T01:26,0.7297608915301623,UNKNOWN
2022-02-07T01:27,0.8297608915301637,UNKNOWN
2022-02-07T01:28,0.9297608915301652,UNKNOWN
2022-02-07T01:29,0.9297608915301652,UNKNOWN
2022-02-07T01:30,1.0297608915301666,UNKNOWN
2022-02-07T01:31,1.0297608915301666,UNKNOWN
2022-02-07T01:32,1.129760891530161,UNKNOWN
2022-02-07T01:33,1.129760891530161,UNKNOWN
2022-02-07T01:34,1.129760891530161,UNKNOWN
2022-02-07T01:35,1.129760891530161,UNKNOWN
2022-02-07T01:36,1.2297608915301623,UNKNOWN
2022-02-07T01:37,1.2297608915301623,UNKNOWN
2022-02-07T01:38,1.2297608915301623,UNKNOWN
2022-02-07T01:39,1.2297608915301623,UNKNOWN
2022-02-07T01:40,1.3297608915301637,UNKNOWN
2022-02-07T01:41,1.3297608915301637,UNKNOWN
2022-02-07T01:42,1.3297608915301637,UNKNOWN
2022-02-07T01:43,1.3297608915301637,UNKNOWN
2022-02-07T01:44,1.3297608915301637,UNKNOWN
2022-02-07T01:45,1.3297608915301637,UNKNOWN
2022-02-07T01:46,1.3297608915301637,UNKNOWN
2022-02-07T01:47,1.4297608915301652,UNKNOWN
2022-02-07T01:48,1.3297608915301637,UNKNOWN
2022-02-07T01:49,1.3297608915301637,UNKNOWN
2022-02-07T01:50,1.129760891530161,UNKNOWN
2022-02-07T01:51,0.8297608915301637,UNKNOWN
2022-02-07T01:52,0.6297608915301609,UNKNOWN
2022-02-07T01:53,0.42976089153016517,UNKNOWN
2022-02-07T01:54,0.22976089153016233,UNKNOWN
2022-02-07T01:55,0.1297608915301609,UNKNOWN
2022-02-07T01:56,0.02976089153016659,UNKNOWN
2022-02-07T01:57,-0.07023910846983483,UNKNOWN
2022-02-07T01:58,-0.17023910846983625,UNKNOWN
2022-02-07T01:59,-0.17023910846983625,UNKNOWN
2022-02-07T02:00,-0.2702391084698377,UNKNOWN
2022-02-07T02:01,-0.2702391084698377,UNKNOWN
2022-02-07T02:02,-0.2702391084698377,UNKNOWN
2022-02-07T02:03,-0.2702391084698377,UNKNOWN
2022-02-07T02:04,-0.3702391084698391,UNKNOWN
2022-02-07T02:05,-0.3702391084698391,UNKNOWN
2022-02-07T02:06,-0.3702391084698391,UNKNOWN
2022-02-07T02:07,-0.2702391084698377,UNKNOWN
2022-02-07T02:08,-0.17023910846983625,UNKNOWN
2022-02-07T02:09,0.02976089153016659,UNKNOWN
2022-02-07T02:10,0.1297608915301609,UNKNOWN
2022-02-07T02:11,0.22976089153016233,UNKNOWN
2022-02-07T02:12,0.32976089153016375,UNKNOWN
2022-02-07T02:13,0.42976089153016517,UNKNOWN
2022-02-07T02:14,0.5297608915301666,UNKNOWN
2022-02-07T02:15,0.6297608915301609,UNKNOWN
2022-02-07T02:16,0.6297608915301609,UNKNOWN
2022-02-07T02:17,0.7297608915301623,UNKNOWN
2022-02-07T02:18,0.8297608915301637,UNKNOWN
2022-02-07T02:19,0.9297608915301652,UNKNOWN
2022-02-07T02:20,0.9297608915301652,UNKNOWN
2022-02-07T02:21,0.9297608915301652,UNKNOWN
2022-02-07T02:22,1.0297608915301666,UNKNOWN
2022-02-07T02:23,1.0297608915301666,UNKNOWN
2022-02-07T02:24,1.129760891530161,UNKNOWN
2022-02-07T02:25,1.129760891530161,UNKNOWN
2022-02-07T02:26,1.129760891530161,UNKNOWN
2022-02-07T02:27,1.129760891530161,UNKNOWN
2022-02-07T02:28,1.2297608915301623,UNKNOWN
2022-02-07T02:29,1.2297608915301623,UNKNOWN
2022-02-07T02:30,1.2297608915301623,UNKNOWN
2022-02-07T02:31,1.3297608915301637,UNKNOWN
2022-02-07T02:32,1.3297608915301637,UNKNOWN
2022-02-07T02:33,1.3297608915301637,UNKNOWN
2022-02-07T02:34,1.3297608915301637,UNKNOWN
2022-02-07T02:35,1.3297608915301637,UNKNOWN
2022-02-07T02:36,1.129760891530161,UNKNOWN
2022-02-07T02:37,1.0297608915301666,UNKNOWN
2022-02-07T02:38,1.0297608915301666,UNKNOWN
2022-02-07T02:39,0.8297608915301637,UNKNOWN
2022-02-07T02:40,0.8297608915301637,UNKNOWN
2022-02-07T02:41,0.8297608915301637,UNKNOWN
2022-02-07T02:42,0.9297608915301652,UNKNOWN
2022-02-07T02:43,0.9297608915301652,UNKNOWN
2022-02-07T02:44,1.0297608915301666,UNKNOWN
2022-02-07T02:45,1.129760891530161,UNKNOWN
2022-02-07T02:46,1.129760891530161,UNKNOWN
2022-02-07T02:47,1.2297608915301623,UNKNOWN
2022-02-07T02:48,1.2297608915301623,UNKNOWN
2022-02-07T02:49,1.3297608915301637,UNKNOWN
2022-02-07T02:50,1.3297608915301637,UNKNOWN
2022-02-07T02:51,1.4297608915301652,UNKNOWN
2022-02-07T02:52,1.4297608915301652,UNKNOWN
2022-02-07T02:53,1.4297608915301652,UNKNOWN
2022-02-07T02:54,1.4297608915301652,UNKNOWN
2022-02-07T02:55,1.4297608915301652,UNKNOWN
2022-02-07T02:56,1.4297608915301652,UNKNOWN
2022-02-07T02:57,1.5297608915301666,UNKNOWN
2022-02-07T02:58,1.5297608915301666,UNKNOWN
2022-02-07T02:59,1.5297608915301666,UNKNOWN
2022-02-07T03:00,1.5297608915301666,UNKNOWN
2022-02-07T03:01,1.5297608915301666,UNKNOWN
2022-02-07T03:02,1.5297608915301666,UNKNOWN
2022-02-07T03:03,1.5297608915301666,UNKNOWN
2022-02-07T03:04,1.5297608915301666,UNKNOWN
2022-02-07T03:05,1.5297608915301666,UNKNOWN
2022-02-07T03:06,1.5297608915301666,UNKNOWN
2022-02-07T03:07,1.5297608915301666,UNKNOWN
2022-02-07T03:08,1.5297608915301666,UNKNOWN
2022-02-07T03:09,1.2297608915301623,UNKNOWN
2022-02-07T03:10,0.6297608915301609,UNKNOWN
2022-02-07T03:11,0.32976089153016375,UNKNOWN
2022-02-07T03:12,0.22976089153016233,UNKNOWN
2022-02-07T03:13,0.1297608915301609,UNKNOWN
