timestamp,rmssd,coverage,low_frequency,high_frequency
2022-05-24T04:20:00,59.962,0.963,374.152,798.276
2022-05-24T04:25:00,64.072,0.99,419.799,1066.518
2022-05-24T04:30:00,60.538,1.004,262.863,905.499
2022-05-24T04:35:00,60.89,1.002,175.111,967.071
2022-05-24T04:40:00,53.36,1.004,159.927,663.937
2022-05-24T04:45:00,57.728,0.995,313.315,785.728
2022-05-24T04:50:00,56.93,0.963,167.78,703.911
2022-05-24T04:55:00,55.65,0.933,2170.053,623.13
2022-05-24T05:00:00,57.987,0.987,570.285,790.135
2022-05-24T05:05:00,60.946,1.001,406.833,874.842
2022-05-24T05:10:00,61.41,1.004,176.561,822.821
2022-05-24T05:15:00,64.875,0.988,545.804,913.337
2022-05-24T05:20:00,65.832,1.004,407.502,1103.452
2022-05-24T05:25:00,56.253,1.002,285.263,719.292
2022-05-24T05:30:00,59.152,0.978,250.564,781.199
2022-05-24T05:35:00,54.228,0.842,2013.848,469.676
2022-05-24T05:40:00,63.052,1.003,550.419,1129.301
2022-05-24T05:45:00,60.779,0.991,357.932,1068.442
2022-05-24T05:50:00,64.462,0.929,1094.391,1112.222
2022-05-24T05:55:00,45.16,0.976,333.818,538.833
2022-05-24T06:00:00,40.293,0.977,688.245,471.345
2022-05-24T06:05:00,45.525,0.983,520.978,571.654
2022-05-24T06:10:00,37.221,0.914,920.999,337.201
2022-05-24T06:15:00,53.123,1.003,210.424,986.878
2022-05-24T06:20:00,51.29,1.003,231.346,792.602
2022-05-24T06:25:00,50.88,0.876,534.976,520.628
2022-05-24T06:30:00,60.369,0.796,1349.047,728.636
2022-05-24T06:35:00,70.972,0.973,522.23,833.477
2022-05-24T06:40:00,75.625,0.916,893.559,830.761
2022-05-24T06:45:00,65.676,0.795,1376.173,568.545
2022-05-24T06:50:00,79.99,0.761,822.675,677.111
2022-05-24T06:55:00,70.084,0.867,820.275,554.229
2022-05-24T07:00:00,79.224,0.869,1145.034,945.508
2022-05-24T07:05:00,66.229,0.868,595.234,548.045
2022-05-24T07:10:00,76.521,0.792,393.423,940.65
2022-05-24T07:15:00,75.281,0.727,1303.928,573.441
2022-05-24T07:20:00,70.552,0.78,938.793,525.108
2022-05-24T07:25:00,63.487,0.877,756.971,649.335
2022-05-24T07:30:00,58.911,0.87,2757.114,565.78
2022-05-24T07:35:00,66.71,0.855,1420.732,766.279
2022-05-24T07:40:00,74.356,0.828,1045.966,1071.279
2022-05-24T07:45:00,68.024,0.816,687.197,490.621
2022-05-24T07:50:00,60.966,0.845,612.49,913.948
2022-05-24T07:55:00,69.761,0.752,798.156,455.275
2022-05-24T08:00:00,83.865,0.877,797.744,985.73
2022-05-24T08:05:00,90.025,1.003,435.71,1812.35
2022-05-24T08:10:00,83.85,0.981,313.276,1540.758
2022-05-24T08:15:00,93.199,0.958,488.853,1692.773
2022-05-24T08:20:00,95.48,1.002,321.91,1901.582
2022-05-24T08:25:00,90.965,0.983,649.175,1610.201
2022-05-24T08:30:00,99.853,0.998,875.868,1954.484
2022-05-24T08:35:00,101.859,0.934,1476.912,1912.558
2022-05-24T08:40:00,82.634,0.811,1034.619,1113.763
2022-05-24T08:45:00,122.13,0.844,2113.199,1621.407
2022-05-24T08:50:00,94.837,0.933,2151.036,1505.757
2022-05-24T08:55:00,95.627,0.911,2029.753,1917.667
2022-05-24T09:00:00,88.269,0.901,1226.598,961.322
2022-05-24T09:05:00,85.248,0.899,1655.037,1455.113
2022-05-24T09:10:00,146.661,0.964,2914.889,3469.769
2022-05-24T09:15:00,153.756,0.862,6276.771,3778.863
2022-05-24T09:20:00,134.54,0.92,2189.421,3522.375
2022-05-24T09:25:00,132.553,0.902,3636.339,2644.882
2022-05-24T09:40:00,107.491,0.975,759.402,2010.555
2022-05-24T09:45:00,97.646,0.798,929.556,1580.221
2022-05-24T09:50:00,70.091,0.836,280.16,854.632
2022-05-24T10:00:00,78.501,0.705,924.083,539.682
2022-05-24T10:05:00,72.86,0.826,960.043,881.42
2022-05-24T10:10:00,78.047,0.774,1250.531,749.143
2022-05-24T10:15:00,64.546,0.821,1163.219,525.602
2022-05-24T10:20:00,52.511,0.725,427.783,361.157
2022-05-24T10:25:00,53.626,0.847,1698.782,683.423
2022-05-24T10:30:00,46.945,0.838,583.552,470.95
2022-05-24T10:35:00,52.976,0.915,720.545,414.752
2022-05-24T10:40:00,63.333,0.816,1590.677,728.15
2022-05-24T10:50:00,67.233,0.728,830.117,487.501
2022-05-24T11:05:00,61.586,0.728,982.267,503.058
2022-05-24T11:15:00,95.297,0.824,1677.265,1249.844
