timestamp,bucket_values
2022-04-01T04:44:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.003, 0.016, 0.046, 0.053, 0.089, 0.139, 0.154, 0.14, 0.094, 0.05, 0.042, 0.04, 0.032, 0.026, 0.019, 0.016, 0.016, 0.011, 0.01]"
2022-04-04T05:54:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.003, 0.003, 0.012, 0.026, 0.056, 0.088, 0.12, 0.117, 0.104, 0.089, 0.073, 0.063, 0.054, 0.044, 0.032, 0.031, 0.033, 0.025, 0.023]"
2022-04-05T05:35:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.002, 0.002, 0.009, 0.039, 0.077, 0.12, 0.137, 0.12, 0.115, 0.096, 0.086, 0.055, 0.045, 0.025, 0.016, 0.014, 0.016, 0.009, 0.013]"
2022-04-06T06:22:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.005, 0.02, 0.074, 0.165, 0.203, 0.178, 0.157, 0.098, 0.055, 0.023, 0.01, 0.004, 0.002, 0.001, 0.001, 0.0, 0.0, 0.0]"
2022-04-07T05:52:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.003, 0.007, 0.026, 0.073, 0.119, 0.154, 0.135, 0.112, 0.103, 0.089, 0.065, 0.039, 0.022, 0.016, 0.014, 0.011, 0.005, 0.003]"
2022-04-08T07:04:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.004, 0.022, 0.071, 0.143, 0.157, 0.164, 0.137, 0.091, 0.059, 0.043, 0.029, 0.021, 0.014, 0.012, 0.013, 0.008, 0.004, 0.001]"
2022-04-11T06:04:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.011, 0.026, 0.052, 0.099, 0.106, 0.098, 0.097, 0.091, 0.081, 0.071, 0.052, 0.042, 0.04, 0.056, 0.045, 0.026]"
2022-04-12T05:10:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.006, 0.013, 0.038, 0.108, 0.174, 0.145, 0.14, 0.149, 0.106, 0.053, 0.026, 0.012, 0.006, 0.005, 0.003, 0.005, 0.003, 0.003]"
2022-04-13T06:17:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.002, 0.006, 0.015, 0.041, 0.095, 0.166, 0.176, 0.164, 0.138, 0.094, 0.052, 0.026, 0.012, 0.005, 0.002, 0.001, 0.001, 0.0, 0.0]"
2022-04-14T06:51:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.002, 0.003, 0.022, 0.095, 0.177, 0.197, 0.161, 0.116, 0.071, 0.052, 0.031, 0.024, 0.016, 0.009, 0.009, 0.005, 0.004, 0.002, 0.002]"
