timestamp,rmssd,coverage,low_frequency,high_frequency
2022-04-21T00:00:00,108.096,0.771,1727.379,1853.3
2022-04-21T00:10:00,115.464,0.755,4556.712,1650.547
2022-04-21T00:20:00,174.797,0.792,4369.274,2921.161
2022-04-21T00:25:00,170.12,0.917,3462.739,4128.619
2022-04-21T00:30:00,154.968,0.923,2053.229,4618.365
2022-04-21T00:35:00,179.867,0.859,4357.245,4285.742
2022-04-21T00:40:00,144.266,0.776,3436.228,1591.728
2022-04-21T00:45:00,162.06,0.732,2962.12,2499.043
2022-04-21T00:50:00,265.341,0.819,5147.656,9522.219
2022-04-21T00:55:00,167.924,0.793,4377.452,3709.112
2022-04-21T01:00:00,77.67,0.889,862.958,623.853
2022-04-21T01:05:00,100.734,0.866,2237.991,959.802
2022-04-21T01:10:00,201.221,0.724,9200.485,4438.16
2022-04-21T01:15:00,226.943,0.876,7331.062,5482.026
2022-04-21T01:20:00,235.748,0.79,4418.937,6986.485
2022-04-21T02:35:00,81.995,0.814,1975.403,593.089
2022-04-21T02:40:00,77.203,0.795,1887.76,584.662
2022-04-21T02:50:00,174.747,0.723,9352.055,4626.787
2022-04-21T02:55:00,258.889,0.885,7964.819,6998.489
2022-04-21T03:00:00,228.032,0.838,5106.517,6226.153
2022-04-21T03:25:00,273.744,0.796,7003.143,8679.094
2022-04-21T03:30:00,153.15,0.726,3984.536,1500.546
2022-04-21T03:35:00,150.563,0.72,5061.678,1911.715
2022-04-21T04:00:00,131.445,0.707,13132.109,1155.718
2022-04-21T04:05:00,245.492,0.767,4114.63,6535.537
2022-04-21T04:10:00,97.599,0.818,2369.322,957.156
2022-04-21T04:15:00,86.865,0.795,1416.94,1105.927
2022-04-21T04:25:00,180.096,0.839,6306.262,3207.265
2022-04-21T04:45:00,296.95,0.843,11621.87,10584.32
2022-04-21T04:50:00,246.775,0.823,4813.817,9466.246
2022-04-21T04:55:00,289.72,0.966,6310.99,12391.202
2022-04-21T05:00:00,240.163,0.911,5129.006,6577.692
2022-04-21T05:05:00,231.738,0.734,6314.149,6962.263
2022-04-21T05:10:00,124.237,0.84,3426.62,2255.141
2022-04-21T05:25:00,102.12,0.952,616.003,1116.297
2022-04-21T05:30:00,174.874,0.846,16978.968,3423.868
2022-04-21T05:35:00,167.41,0.792,8009.83,3984.57
2022-04-21T05:40:00,207.621,0.922,10694.587,7661.398
2022-04-21T22:40:00,73.845,0.79,620.627,800.767
2022-04-21T22:45:00,103.019,0.852,1323.15,2556.493
2022-04-21T22:50:00,101.039,0.88,842.261,2146.809
2022-04-21T22:55:00,95.067,0.991,1051.45,1643.248
2022-04-21T23:00:00,107.38,0.992,693.693,2649.813
2022-04-21T23:05:00,104.732,0.998,612.056,2568.038
2022-04-21T23:10:00,114.744,0.962,916.504,2622.593
2022-04-21T23:15:00,119.556,0.973,1197.982,2828.589
2022-04-21T23:20:00,110.248,0.875,1728.302,1504.959
2022-04-21T23:25:00,107.912,0.942,1156.56,1948.625
2022-04-21T23:30:00,97.313,0.825,1261.954,1076.212
