timestamp,rmssd,coverage,low_frequency,high_frequency
2022-02-19T01:55:00,174.572,0.792,1412.78,2590.828
2022-02-19T02:55:00,234.031,0.89,8819.091,9553.232
2022-02-19T03:00:00,249.385,0.861,6906.484,10139.779
2022-02-19T03:05:00,147.231,0.733,2646.077,1646.617
2022-02-19T03:10:00,154.626,0.844,3680.917,2369.549
2022-02-19T03:15:00,123.939,0.817,1198.129,2429.844
2022-02-19T03:20:00,125.825,0.784,2267.675,1969.9
2022-02-19T03:25:00,174.057,0.852,4048.807,5084.84
2022-02-19T03:30:00,173.817,0.732,5531.149,3507.717
2022-02-19T03:35:00,196.206,0.825,3876.561,3625.904
2022-02-19T03:40:00,183.043,0.797,4626.205,4336.387
2022-02-19T03:45:00,220.772,0.768,5108.136,5703.528
2022-02-19T03:50:00,197.939,0.753,6787.798,2071.727
2022-02-19T03:55:00,181.069,0.803,2469.559,3803.903
2022-02-19T04:00:00,214.137,0.826,4894.164,3972.777
2022-02-19T04:05:00,216.464,0.826,5039.454,3878.866
2022-02-19T04:10:00,219.026,0.795,6290.245,5015.729
2022-02-19T04:20:00,229.127,0.938,3296.811,9135.105
2022-02-19T04:25:00,236.434,0.943,5954.772,7446.845
2022-02-19T04:30:00,251.805,0.92,6902.119,9638.219
2022-02-19T04:35:00,240.115,0.906,10101.831,8681.026
2022-02-19T04:40:00,249.804,0.961,6120.648,9832.559
2022-02-19T04:45:00,245.961,0.871,3762.431,8158.834
2022-02-19T04:50:00,242.353,0.769,11747.272,6777.943
2022-02-19T05:35:00,102.479,0.811,1711.699,1036.994
2022-02-19T05:40:00,69.815,0.749,918.684,750.054
2022-02-19T05:45:00,74.209,0.705,1328.075,671.989
2022-02-19T05:50:00,71.289,0.726,1230.242,536.851
2022-02-19T06:10:00,95.606,0.714,2164.156,1272.213
2022-02-19T06:20:00,102.401,0.708,2431.433,799.102
2022-02-19T06:25:00,189.089,0.889,4434.551,5500.328
2022-02-19T06:30:00,220.891,0.965,3031.662,9289.21
2022-02-19T06:35:00,131.002,0.959,1409.221,2839.79
2022-02-19T06:40:00,115.492,1.004,595.659,2526.616
2022-02-19T06:45:00,113.01,0.949,1528.448,2324.796
2022-02-19T06:50:00,117.79,0.836,1347.65,1851.335
2022-02-19T06:55:00,154.53,0.954,1989.306,4241.485
2022-02-19T07:00:00,136.789,0.939,1391.727,2974.845
2022-02-19T07:05:00,227.288,0.884,5710.071,8199.363
2022-02-19T07:10:00,204.803,0.873,2137.203,6825.613
2022-02-19T07:15:00,173.243,0.976,3707.524,4298.667
2022-02-19T07:20:00,123.394,0.889,5182.749,2374.78
2022-02-19T07:25:00,157.588,0.921,3474.05,2991.142
2022-02-19T07:30:00,149.682,0.837,4763.83,3566.239
2022-02-19T22:05:00,27.685,0.983,147.739,259.342
2022-02-19T22:10:00,30.591,0.992,213.273,305.768
2022-02-19T22:15:00,29.484,0.942,123.948,264.208
2022-02-19T22:20:00,31.116,0.987,162.397,276.854
2022-02-19T22:25:00,32.218,0.99,98.056,288.334
2022-02-19T22:30:00,32.735,1.006,123.769,287.672
2022-02-19T22:35:00,31.581,0.998,95.992,261.974
2022-02-19T22:40:00,32.694,1.001,145.696,272.611
2022-02-19T22:45:00,35.828,0.922,484.384,287.827
2022-02-19T22:50:00,40.548,0.98,1860.831,345.416
2022-02-19T22:55:00,42.412,1.0,343.276,443.184
2022-02-19T23:00:00,37.383,0.993,121.343,355.226
2022-02-19T23:05:00,37.428,1.004,96.323,328.667
2022-02-19T23:10:00,41.2,0.995,130.284,401.482
2022-02-19T23:15:00,43.322,0.867,1628.457,360.08
2022-02-19T23:20:00,39.796,1.002,241.04,469.562
2022-02-19T23:25:00,39.194,1.003,302.341,352.286
2022-02-19T23:30:00,57.437,0.884,1258.113,815.426
2022-02-19T23:35:00,38.049,0.992,198.91,439.908
2022-02-19T23:40:00,36.598,0.985,313.544,341.33
2022-02-19T23:45:00,31.531,0.991,413.537,265.18
2022-02-19T23:50:00,37.277,0.902,599.199,382.625
2022-02-19T23:55:00,59.113,0.968,1803.785,1162.416
