timestamp,rmssd,coverage,low_frequency,high_frequency
2022-01-27T00:00:00,132.716,0.988,755.082,2767.919
2022-01-27T00:05:00,166.174,0.949,3100.827,4729.51
2022-01-27T00:10:00,164.722,0.995,706.692,4079.476
2022-01-27T00:15:00,164.45,0.96,1774.458,4192.781
2022-01-27T00:20:00,138.615,0.954,1050.436,3338.476
2022-01-27T00:25:00,124.234,0.978,780.728,2268.77
2022-01-27T00:30:00,152.87,0.759,7973.025,2323.366
2022-01-27T00:35:00,173.457,0.944,5602.29,5889.485
2022-01-27T00:40:00,148.177,0.951,4492.711,4153.8
2022-01-27T00:45:00,172.772,0.923,8515.762,5116.257
2022-01-27T00:50:00,168.604,0.948,5031.355,4318.642
2022-01-27T00:55:00,185.509,0.987,2711.14,5459.347
2022-01-27T01:00:00,210.596,0.996,882.562,7617.782
2022-01-27T01:05:00,197.285,0.927,3959.582,5883.645
2022-01-27T01:10:00,188.212,1.002,2024.605,5803.957
2022-01-27T01:15:00,178.486,0.921,4219.596,3829.808
2022-01-27T01:20:00,192.876,0.962,9856.516,4559.762
2022-01-27T01:25:00,178.548,0.988,1198.718,4469.024
2022-01-27T01:30:00,184.147,0.905,1644.134,5047.144
2022-01-27T01:35:00,168.299,0.852,5677.656,3944.038
2022-01-27T01:40:00,126.478,0.955,2489.194,1932.448
2022-01-27T01:45:00,107.072,0.774,1209.96,1064.528
2022-01-27T01:50:00,108.934,0.779,2183.141,1317.339
2022-01-27T01:55:00,102.114,0.834,1294.589,1055.606
2022-01-27T02:00:00,95.893,0.908,1636.255,802.603
2022-01-27T02:05:00,135.627,0.835,2629.452,2600.498
2022-01-27T02:10:00,139.766,0.831,4548.755,2544.804
2022-01-27T02:15:00,191.222,0.797,6548.736,6066.995
2022-01-27T02:20:00,143.076,0.804,2860.77,2673.513
2022-01-27T02:25:00,177.28,0.718,6562.178,3265.51
2022-01-27T02:30:00,260.111,0.811,6936.298,7585.436
2022-01-27T02:35:00,244.397,0.848,5447.94,6100.948
2022-01-27T02:40:00,207.422,0.94,2601.986,5987.835
2022-01-27T02:45:00,210.396,0.9,6393.98,4566.3
2022-01-27T02:50:00,200.852,0.931,2016.903,5101.207
2022-01-27T02:55:00,206.295,0.966,2499.822,4939.278
2022-01-27T03:00:00,159.572,0.871,11723.659,5302.147
2022-01-27T03:05:00,215.802,0.782,13125.391,3412.211
2022-01-27T03:10:00,249.721,0.896,5019.253,8754.611
2022-01-27T03:15:00,234.536,0.821,5149.481,3876.244
2022-01-27T03:20:00,233.838,0.801,6833.519,4176.956
2022-01-27T03:25:00,251.051,1.007,2443.47,8423.443
2022-01-27T03:30:00,250.202,0.93,4752.859,6437.462
2022-01-27T03:35:00,247.607,0.893,6080.175,6769.835
2022-01-27T03:40:00,218.08,0.915,9536.707,4810.24
2022-01-27T03:45:00,232.908,0.944,2445.641,8341.366
2022-01-27T03:50:00,271.717,0.912,7671.799,8341.264
2022-01-27T03:55:00,196.077,0.929,6513.033,3574.751
2022-01-27T04:00:00,204.42,0.763,4261.267,6744.35
2022-01-27T04:05:00,222.515,0.781,5085.284,5822.558
2022-01-27T04:10:00,183.56,0.714,5646.204,2560.241
2022-01-27T04:15:00,179.852,0.93,5639.862,4064.274
2022-01-27T04:30:00,257.462,0.765,7025.312,7577.849
2022-01-27T04:35:00,277.04,0.846,8646.648,8856.783
2022-01-27T04:40:00,245.102,0.975,4016.904,6721.774
2022-01-27T04:45:00,250.901,0.998,3804.862,6564.936
2022-01-27T04:50:00,277.349,0.984,2799.498,9808.168
2022-01-27T04:55:00,290.412,0.955,6269.891,12646.288
2022-01-27T05:00:00,251.735,0.815,15902.431,3851.575
2022-01-27T05:05:00,260.377,0.969,4276.497,9032.058
2022-01-27T05:10:00,284.046,0.975,2505.933,14013.0
2022-01-27T05:15:00,285.71,0.949,6191.451,12037.192
2022-01-27T05:20:00,251.09,0.949,3908.085,5724.756
2022-01-27T05:25:00,222.477,0.942,3348.786,4998.098
2022-01-27T05:30:00,137.002,0.842,16485.549,2576.925
2022-01-27T05:35:00,158.202,0.752,17579.986,3948.519
2022-01-27T06:35:00,75.212,0.711,1080.412,749.932
2022-01-27T06:40:00,144.015,0.726,4614.849,2789.549
2022-01-27T06:45:00,166.094,0.823,6294.432,3281.672
