type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2022-02-28T22:19:30,2022-03-01T06:33,493,32.95050709939148,49.429666978583555,183.1683407255914,0.8708741336198529,1.3260435485442525
IDT,2022-03-01T21:32,2022-03-02T06:06,514,32.255447470817124,-288.37087887896996,1087.9752797379624,0.8720040766915869,1.341794997007206
IDT,2022-03-02T22:49,2022-03-03T06:01,432,33.13564814814815,137.8805064674798,430.43804181413725,0.8752063948522292,1.3461254068444821
IDT,2022-03-03T23:07:30,2022-03-04T06:18,426,32.192723004694834,-256.0975422832962,548.7650731537724,0.8695583137190154,1.343402312979614
IDT,2022-03-04T22:41,2022-03-05T06:34,473,33.69260042283298,414.40481379425546,501.8724940716056,0.8898075218269956,1.3380903480676836
IDT,2022-03-05T23:20,2022-03-06T06:48:30,446,33.86614349775785,453.09113888934735,851.4337895517237,0.9131839331592886,1.3495071106047227
IDT,2022-03-06T22:46,2022-03-07T06:48:30,483,33.72608695652173,392.54065533166977,745.8944225427695,0.8861343564503301,1.326649870226262
IDT,2022-03-07T22:12:30,2022-03-08T06:53:30,520,32.76673076923077,-43.42692326802353,549.2011685858015,0.879071696791031,1.3186466201307756
IDT,2022-03-08T22:15,2022-03-09T06:00:30,466,32.12660944206009,-337.21374277480754,868.8095886615338,0.8866967280530226,1.329747643455688
IDT,2022-03-09T22:31,2022-03-10T06:34,483,33.00931677018634,76.83210781066191,304.0299643698381,0.8772566680896131,1.320148886492091
IDT,2022-03-10T22:38,2022-03-11T06:38:30,480,31.86875,-454.9105483694675,1457.2037646205863,0.8908605561795195,1.3448190806570741
IDT,2022-03-12T00:15,2022-03-12T06:56,401,31.211221945137158,-643.7086039503247,1835.6381216949085,0.9233434237682797,1.3616125137136386
IDT,2022-03-12T23:11,2022-03-13T07:39:30,499,32.765531062124246,-25.423674242425477,655.0824513265397,0.9178872139430958,1.3544229349050494
IDT,2022-03-13T23:44:30,2022-03-14T07:07,442,32.69095022624435,-55.48429662355193,224.04874925757758,0.9178522204436946,1.3528422368293718
IDT,2022-03-14T23:32,2022-03-15T07:04:30,453,32.554083885209714,-118.86558002368474,649.474847934558,0.8563229393835149,1.2834056081252891
IDT,2022-03-15T21:09,2022-03-16T06:10:30,539,32.61317254174397,-97.40721899224809,379.7597519697156,0.8493633924459334,1.2740231867238423
IDT,2022-03-16T21:33,2022-03-17T05:34:30,471,32.70764331210191,-30.736026386404774,284.8382236051839,0.8475484858020701,1.2743689077816875
IDT,2022-03-17T21:35:30,2022-03-18T06:19:30,513,33.01111111111111,122.20216234347026,407.8365467474796,0.8490499592782773,1.2738638371836273
IDT,2022-03-18T22:35,2022-03-19T05:48,433,29.720554272517322,-1318.7346864883602,4576.094626668724,1.0074417968821683,1.3861513643187742
IDT,2022-03-19T23:39:30,2022-03-20T07:35,475,33.00084210526316,108.27237254025022,488.1994666431565,1.009477231949404,1.3540857525157286
IDT,2022-03-23T23:51:30,2022-03-24T05:49:30,358,34.04329608938548,452.593023255813,667.2389237425523,0.8825621996997551,1.2807650757135052
IDT,2022-03-24T21:27:30,2022-03-25T06:39:30,550,32.43145454545454,-184.40192307692269,616.0314167900942,0.8849818500656139,1.2799957719447583
IDT,2022-03-25T21:57,2022-03-26T05:28:30,452,33.15066371681416,173.53769230769285,426.0966386095388,0.8873060082237664,1.2829449019911903
IDT,2022-03-26T22:47,2022-03-27T06:20,453,33.17373068432671,101.12028397566064,572.2898274422623,0.8907740379389397,1.2851220569262223
IDT,2022-03-27T23:37:30,2022-03-28T06:35:30,418,31.714114832535884,-439.9934615384609,1064.690852144966,0.895913272046992,1.2992065973551852
IDT,2022-03-28T21:09:30,2022-03-29T06:07:30,526,32.229657794676804,-281.8693386773557,1042.3235819130205,0.8808130652120398,1.305618331550063
IDT,2022-03-29T21:38:30,2022-03-30T05:49:30,491,32.818329938900206,25.92424849699455,899.8838017517701,0.8764088899398563,1.316165440282415
IDT,2022-03-30T21:51:30,2022-03-31T06:08:30,485,30.340412371134022,-1148.1070063694242,3455.702346545644,0.9793675799570352,1.3970345555358326
IDT,2022-03-31T20:57:30,2022-04-01T04:44,466,29.04527896995708,-1706.6617834394892,6554.951873504091,1.1888088567205846,1.5234721447786854
