timestamp,rmssd,coverage,low_frequency,high_frequency
2022-03-06T00:00:00,395.385,0.992,20301.227,36201.982
2022-03-06T00:05:00,50.305,1.003,687.766,429.061
2022-03-06T00:10:00,40.021,0.908,1343.806,148.256
2022-03-06T00:15:00,43.133,0.788,2639.622,240.928
2022-03-06T00:20:00,463.384,0.923,10993.036,40803.086
2022-03-06T00:25:00,465.391,0.995,6943.08,57551.872
2022-03-06T00:30:00,454.145,0.863,6957.97,34085.587
2022-03-06T00:35:00,468.416,0.945,20427.723,30282.243
2022-03-06T00:40:00,507.295,0.962,5640.579,58746.078
2022-03-06T00:45:00,48.865,1.005,491.628,455.172
2022-03-06T00:50:00,43.658,0.99,398.571,331.068
2022-03-06T00:55:00,371.717,0.923,4651.035,27823.904
2022-03-06T01:00:00,48.271,0.844,1300.632,213.507
2022-03-06T01:05:00,59.044,0.958,632.922,673.834
2022-03-06T01:10:00,46.869,0.952,1405.505,340.058
2022-03-06T01:15:00,56.101,0.979,832.497,496.758
2022-03-06T01:20:00,57.814,0.991,1976.825,672.652
2022-03-06T01:25:00,55.651,1.0,437.508,590.699
2022-03-06T01:30:00,47.334,0.922,1595.821,331.098
2022-03-06T01:35:00,63.623,0.965,1529.719,441.167
2022-03-06T01:40:00,53.357,0.949,432.05,476.693
2022-03-06T01:45:00,56.75,0.876,2248.146,575.684
2022-03-06T01:50:00,501.214,0.983,4586.522,58820.112
2022-03-06T01:55:00,513.925,0.986,8159.256,56370.501
2022-03-06T02:00:00,516.775,0.957,12259.175,53659.206
2022-03-06T02:05:00,515.465,0.95,7405.109,60148.908
2022-03-06T02:10:00,536.423,0.947,8933.438,60466.032
2022-03-06T02:15:00,490.764,0.931,14958.046,42485.358
2022-03-06T02:20:00,50.008,0.868,1792.075,361.096
2022-03-06T02:25:00,79.443,0.908,1255.552,951.276
2022-03-06T02:30:00,69.72,0.969,1282.377,558.476
2022-03-06T02:35:00,61.291,0.963,692.27,557.694
2022-03-06T02:40:00,61.925,0.941,603.121,534.609
2022-03-06T02:45:00,59.965,0.9,779.626,583.607
2022-03-06T02:50:00,54.736,1.003,193.557,643.936
2022-03-06T02:55:00,63.625,0.913,1752.398,609.814
2022-03-06T03:00:00,61.522,0.923,732.614,689.019
2022-03-06T03:05:00,66.61,0.909,689.917,773.182
2022-03-06T03:10:00,61.855,0.877,894.508,563.691
2022-03-06T03:15:00,712.585,0.95,2261.796,80428.654
2022-03-06T03:20:00,723.211,0.999,7573.101,77467.07
2022-03-06T03:25:00,724.422,0.879,14972.788,71726.592
2022-03-06T03:30:00,709.237,0.836,16111.077,60113.897
2022-03-06T03:35:00,604.741,0.77,21856.209,39022.343
2022-03-06T04:00:00,75.898,0.761,1355.133,641.959
2022-03-06T04:05:00,58.68,0.788,1385.055,252.282
2022-03-06T04:10:00,70.162,0.803,688.154,266.756
2022-03-06T04:15:00,76.96,0.741,3209.829,609.862
2022-03-06T04:25:00,82.057,0.832,763.454,753.425
2022-03-06T04:30:00,84.716,0.77,1380.007,1100.103
2022-03-06T04:40:00,95.709,0.772,8863.693,1304.615
2022-03-06T04:45:00,82.769,0.736,1733.142,581.632
2022-03-06T05:15:00,94.241,0.701,1951.825,665.566
2022-03-06T05:20:00,109.877,0.801,1997.476,1166.904
2022-03-06T05:25:00,98.26,0.788,1594.421,1165.419
2022-03-06T05:30:00,96.457,0.825,2528.035,1434.927
2022-03-06T05:35:00,99.483,0.856,2207.74,991.876
2022-03-06T05:40:00,89.1,0.75,2550.045,861.286
2022-03-06T05:45:00,91.809,0.766,1815.44,1286.08
2022-03-06T05:55:00,92.14,0.736,1823.276,842.283
2022-03-06T06:00:00,69.527,0.729,826.195,563.452
2022-03-06T06:05:00,52.968,0.853,316.256,382.724
2022-03-06T06:10:00,445.169,0.731,4107.927,10598.613
2022-03-06T06:35:00,58.515,0.703,1369.887,316.866
2022-03-06T22:50:00,42.393,0.996,343.975,501.856
2022-03-06T22:55:00,44.792,1.003,225.005,530.573
2022-03-06T23:00:00,39.646,0.991,331.908,322.839
2022-03-06T23:05:00,37.378,1.003,112.386,400.035
2022-03-06T23:10:00,41.468,1.005,108.567,414.77
2022-03-06T23:15:00,42.813,0.972,151.202,514.952
2022-03-06T23:20:00,38.583,0.927,1794.995,268.727
2022-03-06T23:25:00,40.241,0.977,1220.255,412.503
2022-03-06T23:30:00,45.079,1.001,223.276,610.694
2022-03-06T23:35:00,47.337,1.003,221.856,569.756
2022-03-06T23:40:00,46.107,1.005,131.927,612.284
2022-03-06T23:45:00,47.968,1.003,109.421,595.027
2022-03-06T23:50:00,47.834,1.003,88.138,624.547
2022-03-06T23:55:00,44.66,1.003,397.087,441.293
