timestamp,Infrared to Red Signal Ratio
02/21/22 00:00:58,-13
02/21/22 00:01:58,-2
02/21/22 00:02:58,0
02/21/22 00:03:58,11
02/21/22 00:04:58,0
02/21/22 00:05:58,0
02/21/22 00:06:58,-51
02/21/22 00:07:58,27
02/21/22 00:08:58,2
02/21/22 00:09:58,12
02/21/22 00:10:58,50
02/21/22 00:11:58,21
02/21/22 00:12:58,-4
02/21/22 00:13:58,-10
02/21/22 00:14:58,0
02/21/22 00:15:58,17
02/21/22 00:16:58,33
02/21/22 00:17:58,0
02/21/22 00:18:58,0
02/21/22 00:19:58,-4
02/21/22 00:20:58,0
02/21/22 00:21:58,-8
02/21/22 00:22:58,-15
02/21/22 00:23:58,-22
02/21/22 00:24:58,-26
02/21/22 00:25:58,19
02/21/22 00:26:58,0
02/21/22 00:27:58,1
02/21/22 00:28:58,-17
02/21/22 00:29:58,0
02/21/22 00:30:58,-51
02/21/22 00:31:58,0
02/21/22 00:32:58,42
02/21/22 00:33:58,-25
02/21/22 00:34:58,45
02/21/22 00:35:58,5
02/21/22 00:36:58,0
02/21/22 00:37:58,26
02/21/22 00:38:58,9
02/21/22 00:39:58,-3
02/21/22 00:40:58,32
02/21/22 00:41:58,-2
02/21/22 00:42:58,0
02/21/22 00:43:58,5
02/21/22 00:44:58,0
02/21/22 00:45:58,-1
02/21/22 00:46:58,49
02/21/22 00:47:58,14
02/21/22 00:48:58,17
02/21/22 00:49:58,17
02/21/22 00:50:58,39
02/21/22 00:51:58,46
02/21/22 00:52:58,41
02/21/22 00:53:58,9
02/21/22 00:54:58,3
02/21/22 00:55:59,-48
02/21/22 00:56:59,-3
02/21/22 00:57:59,-50
02/21/22 00:58:59,3
02/21/22 00:59:59,0
02/21/22 01:00:59,-57
02/21/22 01:01:59,13
02/21/22 01:02:59,0
02/21/22 01:03:59,-5
02/21/22 01:04:59,-10
02/21/22 01:05:59,-27
02/21/22 01:06:59,-22
02/21/22 01:07:59,-9
02/21/22 01:08:59,-6
02/21/22 01:09:59,-16
02/21/22 01:10:59,-1
02/21/22 01:11:59,-3
02/21/22 01:12:59,-43
02/21/22 01:13:59,0
02/21/22 01:14:59,-9
02/21/22 01:15:59,0
02/21/22 01:16:59,-9
02/21/22 01:17:59,0
02/21/22 01:18:59,0
02/21/22 01:19:59,-2
02/21/22 01:20:59,-1
02/21/22 01:21:59,3
02/21/22 01:22:59,1
02/21/22 01:23:59,-4
02/21/22 01:24:59,-15
02/21/22 01:25:59,30
02/21/22 01:26:59,-34
02/21/22 01:27:59,-22
02/21/22 01:28:59,4
02/21/22 01:29:59,-75
02/21/22 01:30:59,-1
02/21/22 01:31:59,0
02/21/22 01:32:59,-18
02/21/22 01:33:59,-17
02/21/22 01:34:59,0
02/21/22 01:35:59,13
02/21/22 01:36:59,36
02/21/22 01:37:59,47
02/21/22 01:38:59,-5
02/21/22 01:39:59,-8
02/21/22 01:40:59,4
02/21/22 01:41:59,0
02/21/22 01:42:59,0
02/21/22 01:43:59,-2
02/21/22 01:44:59,0
02/21/22 01:45:59,-51
02/21/22 01:47:50,-52
02/21/22 01:48:50,-11
02/21/22 01:49:50,0
02/21/22 01:50:50,-8
02/21/22 01:51:50,0
02/21/22 01:52:50,-47
02/21/22 01:53:50,-1
02/21/22 01:54:50,28
02/21/22 01:55:50,0
02/21/22 01:56:50,1
02/21/22 01:57:50,0
02/21/22 01:58:50,-2
02/21/22 01:59:50,-13
02/21/22 02:00:50,0
02/21/22 02:01:50,0
02/21/22 02:02:50,21
02/21/22 02:03:50,21
02/21/22 02:04:50,-43
02/21/22 02:05:50,47
02/21/22 02:06:50,5
02/21/22 02:07:50,26
02/21/22 02:08:50,-2
02/21/22 02:09:50,14
02/21/22 02:10:50,-43
02/21/22 02:11:50,0
02/21/22 02:12:50,-4
02/21/22 02:13:50,0
02/21/22 02:14:50,0
02/21/22 02:15:50,-3
02/21/22 02:16:50,-13
02/21/22 02:17:50,-35
02/21/22 02:18:50,17
02/21/22 02:19:50,0
02/21/22 02:20:50,-21
02/21/22 02:21:50,-73
02/21/22 02:22:50,0
02/21/22 02:23:50,17
02/21/22 02:24:50,2
02/21/22 02:25:50,4
