timestamp,Infrared to Red Signal Ratio
01/22/22 00:00:30,0
01/22/22 00:01:30,0
01/22/22 00:02:30,0
01/22/22 00:03:30,0
01/22/22 00:04:30,0
01/22/22 00:05:30,0
01/22/22 00:06:30,0
01/22/22 00:07:30,0
01/22/22 00:08:30,0
01/22/22 00:09:30,0
01/22/22 00:10:30,0
01/22/22 00:11:30,0
01/22/22 00:12:30,0
01/22/22 00:13:30,0
01/22/22 00:14:30,0
01/22/22 00:15:30,0
01/22/22 00:16:30,0
01/22/22 00:17:30,0
01/22/22 00:18:30,0
01/22/22 00:19:30,0
01/22/22 00:20:30,0
01/22/22 00:21:30,0
01/22/22 00:22:30,0
01/22/22 00:23:30,0
01/22/22 00:24:30,0
01/22/22 00:25:30,0
01/22/22 00:26:30,0
01/22/22 00:27:30,0
01/22/22 00:28:30,-31
01/22/22 00:29:30,21
01/22/22 00:30:30,-13
01/22/22 00:31:30,-7
01/22/22 00:32:30,-6
01/22/22 00:33:30,0
01/22/22 00:34:30,-1
01/22/22 00:35:30,0
01/22/22 00:36:30,1
01/22/22 00:37:30,-5
01/22/22 00:38:30,8
01/22/22 00:39:30,0
01/22/22 00:40:30,4
01/22/22 00:41:30,9
01/22/22 00:42:30,0
01/22/22 00:43:30,0
01/22/22 00:44:30,-8
01/22/22 00:45:30,2
01/22/22 00:46:30,-4
01/22/22 00:47:30,-4
01/22/22 00:48:30,-6
01/22/22 00:49:30,1
01/22/22 00:50:30,-47
01/22/22 00:51:30,-2
01/22/22 00:52:30,25
01/22/22 00:53:30,0
01/22/22 00:54:30,-2
01/22/22 00:55:30,0
01/22/22 00:56:30,0
01/22/22 00:57:30,35
01/22/22 00:58:30,1
01/22/22 00:59:30,0
01/22/22 01:00:30,0
01/22/22 01:01:30,0
01/22/22 01:02:30,10
01/22/22 01:03:30,16
01/22/22 01:04:30,0
01/22/22 01:05:30,26
01/22/22 01:06:30,1
01/22/22 01:07:30,-1
01/22/22 01:08:30,-14
01/22/22 01:09:30,0
01/22/22 01:10:30,-52
01/22/22 01:11:30,0
01/22/22 01:12:30,-15
01/22/22 01:13:30,0
01/22/22 01:14:30,3
01/22/22 01:15:30,4
01/22/22 01:16:30,-24
01/22/22 01:17:30,43
01/22/22 01:18:30,0
01/22/22 01:19:30,6
01/22/22 01:20:30,-41
01/22/22 01:21:30,3
01/22/22 01:23:31,0
01/22/22 01:24:31,0
01/22/22 01:25:31,0
01/22/22 01:26:31,0
01/22/22 01:28:14,1
01/22/22 01:29:14,2
01/22/22 01:30:40,8
01/22/22 01:31:40,1
01/22/22 01:32:40,-10
01/22/22 01:33:40,-3
01/22/22 01:34:40,0
01/22/22 01:35:40,-21
01/22/22 01:36:40,0
01/22/22 01:37:40,-10
01/22/22 01:38:40,-4
01/22/22 01:39:40,-31
01/22/22 01:40:40,20
01/22/22 01:41:40,4
01/22/22 01:42:40,-2
01/22/22 01:43:40,-8
01/22/22 01:44:40,0
01/22/22 01:45:40,-21
01/22/22 01:46:40,-16
01/22/22 01:47:40,-6
01/22/22 01:48:40,-33
01/22/22 01:49:40,0
01/22/22 01:50:40,-17
01/22/22 01:51:40,-13
01/22/22 01:52:43,-6
01/22/22 01:53:43,34
01/22/22 01:54:43,-30
01/22/22 01:55:43,-3
01/22/22 01:56:43,-2
01/22/22 01:57:43,-2
01/22/22 01:58:43,-8
01/22/22 01:59:43,23
01/22/22 02:00:43,-8
01/22/22 02:01:43,10
01/22/22 02:02:43,-7
01/22/22 02:03:43,0
01/22/22 02:04:43,-5
01/22/22 02:05:43,-30
01/22/22 02:06:43,17
01/22/22 02:07:43,-48
01/22/22 02:08:43,0
01/22/22 02:10:27,9
01/22/22 02:11:27,13
01/22/22 02:12:27,25
01/22/22 02:13:27,-21
01/22/22 02:14:27,0
01/22/22 02:15:27,24
01/22/22 02:16:29,7
01/22/22 02:17:29,0
01/22/22 02:18:29,0
01/22/22 02:19:29,0
01/22/22 02:20:29,0
01/22/22 02:21:29,0
01/22/22 02:22:29,0
01/22/22 02:24:03,16
01/22/22 02:25:03,-13
01/22/22 02:26:03,-2
01/22/22 02:27:03,0
01/22/22 02:28:03,4
01/22/22 02:29:03,2
01/22/22 02:30:03,18
01/22/22 02:31:03,55
01/22/22 02:32:03,1
01/22/22 02:33:03,11
01/22/22 02:34:03,0
01/22/22 02:35:27,3
01/22/22 02:36:29,6
01/22/22 02:37:29,0
01/22/22 02:38:29,11
01/22/22 02:39:29,-13
01/22/22 02:40:29,-22
01/22/22 02:41:41,9
01/22/22 02:42:41,3
01/22/22 02:43:41,-31
01/22/22 02:44:41,13
01/22/22 02:45:41,-13
01/22/22 02:46:41,-69
01/22/22 02:47:41,0
01/22/22 02:48:41,-29
01/22/22 02:49:41,0
01/22/22 02:50:41,-37
01/22/22 02:51:41,0
01/22/22 02:52:41,0
01/22/22 02:53:41,0
01/22/22 02:54:41,3
01/22/22 02:55:41,8
01/22/22 02:56:41,4
01/22/22 02:57:41,7
01/22/22 02:58:41,-1
01/22/22 02:59:41,2
01/22/22 03:00:41,-6
01/22/22 03:01:41,1
01/22/22 03:02:41,0
01/22/22 03:03:41,-6
01/22/22 03:04:41,0
01/22/22 03:05:41,2
01/22/22 03:06:41,0
01/22/22 03:07:41,-53
01/22/22 03:08:41,-2
01/22/22 03:09:41,1
01/22/22 03:10:41,4
01/22/22 03:11:41,-11
01/22/22 03:12:41,2
01/22/22 03:13:41,25
01/22/22 03:14:41,0
01/22/22 03:15:41,0
01/22/22 03:16:41,0
01/22/22 03:17:41,22
01/22/22 03:18:41,49
01/22/22 03:19:41,20
01/22/22 03:20:41,-6
01/22/22 03:21:41,1
01/22/22 03:22:41,1
01/22/22 03:23:41,-4
01/22/22 03:24:41,2
01/22/22 03:25:41,0
01/22/22 03:26:41,0
01/22/22 03:27:41,-41
01/22/22 03:28:41,0
01/22/22 03:29:41,0
01/22/22 03:30:41,0
01/22/22 03:31:41,0
01/22/22 03:32:41,0
01/22/22 03:33:41,0
01/22/22 03:34:41,-8
01/22/22 03:35:41,30
01/22/22 03:36:41,22
01/22/22 03:37:41,0
01/22/22 03:38:41,0
01/22/22 03:39:41,52
01/22/22 03:40:41,0
01/22/22 03:41:41,0
01/22/22 03:42:42,-1
01/22/22 03:43:42,0
01/22/22 03:44:42,0
01/22/22 03:45:42,0
01/22/22 03:46:42,0
01/22/22 03:47:42,0
01/22/22 03:48:42,0
01/22/22 03:49:42,0
01/22/22 03:50:42,-3
01/22/22 03:51:42,0
01/22/22 03:52:42,7
01/22/22 03:53:42,-13
01/22/22 03:54:42,39
01/22/22 03:55:42,0
01/22/22 03:56:42,7
01/22/22 03:57:42,11
01/22/22 03:58:42,0
01/22/22 03:59:42,13
01/22/22 04:00:42,0
01/22/22 04:01:42,10
01/22/22 04:02:42,1
01/22/22 04:03:42,0
01/22/22 04:04:42,0
01/22/22 04:05:42,-13
01/22/22 04:06:42,-8
01/22/22 04:07:42,0
01/22/22 04:08:42,-16
01/22/22 04:09:42,3
01/22/22 04:10:42,60
01/22/22 04:11:42,22
01/22/22 04:12:42,0
01/22/22 04:13:42,1
01/22/22 04:14:42,-4
01/22/22 04:15:42,3
01/22/22 04:16:42,21
01/22/22 04:17:42,25
01/22/22 04:18:42,0
01/22/22 04:19:42,0
01/22/22 04:20:42,0
01/22/22 04:21:42,0
01/22/22 04:22:42,0
01/22/22 04:23:42,0
01/22/22 04:24:44,0
01/22/22 04:25:44,0
01/22/22 04:26:46,0
01/22/22 04:27:46,0
01/22/22 04:28:46,5
01/22/22 04:29:46,2
01/22/22 04:30:49,32
01/22/22 04:31:49,-47
01/22/22 04:32:49,3
01/22/22 04:33:49,-20
01/22/22 04:34:49,0
01/22/22 04:35:49,16
01/22/22 04:36:49,14
01/22/22 04:37:49,7
01/22/22 04:39:17,0
01/22/22 04:40:17,0
01/22/22 04:41:17,0
01/22/22 04:42:17,-9
01/22/22 04:43:17,-52
01/22/22 04:44:17,-4
01/22/22 04:45:17,-17
01/22/22 04:46:17,-1
01/22/22 04:47:17,-26
01/22/22 04:48:17,-10
01/22/22 04:49:17,-9
01/22/22 04:50:17,-9
01/22/22 04:51:17,-1
01/22/22 04:52:17,8
01/22/22 04:53:17,10
01/22/22 04:54:17,0
01/22/22 04:55:17,-23
01/22/22 04:56:17,0
01/22/22 04:57:18,0
01/22/22 04:58:17,-12
01/22/22 04:59:17,1
01/22/22 05:00:17,-5
01/22/22 05:01:17,0
01/22/22 05:02:17,20
01/22/22 05:03:17,3
01/22/22 05:04:17,8
01/22/22 05:05:17,0
01/22/22 05:06:17,-1
01/22/22 05:07:17,-15
01/22/22 05:08:17,0
01/22/22 05:09:19,0
01/22/22 05:10:19,7
01/22/22 05:11:19,18
01/22/22 05:12:19,-6
01/22/22 05:13:19,-10
01/22/22 05:14:19,-17
01/22/22 05:15:19,11
01/22/22 05:16:19,3
01/22/22 05:17:19,34
01/22/22 05:18:19,4
01/22/22 05:19:19,0
01/22/22 05:20:19,33
01/22/22 05:21:19,-8
01/22/22 05:22:19,15
01/22/22 05:23:19,-30
01/22/22 05:24:19,15
01/22/22 05:25:19,5
01/22/22 05:26:19,0
01/22/22 05:27:19,40
01/22/22 05:28:19,15
01/22/22 05:29:19,11
01/22/22 05:30:19,-16
01/22/22 05:31:19,-1
01/22/22 05:32:19,-8
01/22/22 05:33:19,-2
01/22/22 05:34:19,0
01/22/22 05:35:19,39
01/22/22 05:36:19,0
01/22/22 05:37:26,0
01/22/22 05:38:26,-22
01/22/22 05:39:26,7
01/22/22 05:40:26,0
01/22/22 05:41:26,0
01/22/22 05:42:28,16
01/22/22 05:43:28,-76
01/22/22 05:44:28,0
01/22/22 05:45:28,0
01/22/22 05:46:28,4
01/22/22 05:47:28,0
01/22/22 05:48:28,3
01/22/22 05:49:28,0
01/22/22 05:50:28,-31
01/22/22 05:51:28,0
01/22/22 05:52:28,0
01/22/22 05:53:28,0
01/22/22 05:54:28,0
01/22/22 05:55:28,0
01/22/22 05:56:28,0
01/22/22 05:57:28,0
01/22/22 05:58:28,0
01/22/22 05:59:30,0
01/22/22 06:00:30,-4
01/22/22 06:01:32,-10
01/22/22 06:02:32,0
01/22/22 06:04:20,47
01/22/22 06:05:20,4
01/22/22 06:06:20,22
01/22/22 06:07:20,0
01/22/22 06:08:20,-45
01/22/22 06:09:20,8
01/22/22 06:10:20,-8
01/22/22 06:11:20,1
01/22/22 06:12:20,22
01/22/22 06:13:20,0
01/22/22 06:14:20,0
01/22/22 06:15:20,0
01/22/22 06:16:20,-4
01/22/22 06:17:20,-5
01/22/22 06:18:20,0
01/22/22 06:19:20,0
01/22/22 06:20:20,-1
01/22/22 06:21:20,-1
01/22/22 06:22:20,0
01/22/22 06:23:20,-6
01/22/22 06:24:20,0
01/22/22 06:25:20,0
01/22/22 06:27:24,4
01/22/22 06:28:25,0
01/22/22 06:29:25,0
01/22/22 06:30:25,-8
01/22/22 06:31:25,0
01/22/22 06:32:25,22
01/22/22 06:33:25,31
01/22/22 06:34:25,-43
01/22/22 06:35:25,-3
01/22/22 06:36:25,-21
01/22/22 06:37:25,-12
01/22/22 06:38:25,-70
01/22/22 06:39:25,24
01/22/22 06:40:25,0
01/22/22 06:41:25,-10
01/22/22 06:42:25,0
01/22/22 06:43:25,-11
01/22/22 06:44:25,6
01/22/22 06:45:25,9
01/22/22 06:46:25,62
01/22/22 06:47:25,24
01/22/22 06:48:25,-14
01/22/22 06:49:25,16
01/22/22 06:50:25,0
01/22/22 06:51:25,-8
01/22/22 06:52:25,-7
01/22/22 06:53:25,48
01/22/22 06:54:25,-4
01/22/22 06:55:25,15
01/22/22 06:56:25,-21
01/22/22 06:57:25,5
01/22/22 06:58:25,47
01/22/22 06:59:28,0
01/22/22 07:00:28,44
01/22/22 07:01:28,29
01/22/22 07:02:28,0
01/22/22 07:03:28,36
01/22/22 07:04:28,-14
01/22/22 07:05:28,-30
01/22/22 07:06:28,-5
01/22/22 07:07:28,-14
01/22/22 07:08:28,0
01/22/22 07:09:28,0
01/22/22 07:10:28,0
01/22/22 07:11:28,0
01/22/22 07:12:28,68
01/22/22 07:13:28,25
01/22/22 07:14:28,46
01/22/22 07:15:28,1
01/22/22 07:16:28,34
01/22/22 07:17:28,-1
01/22/22 07:18:28,0
01/22/22 07:19:28,-4
01/22/22 07:20:28,28
01/22/22 07:21:28,17
01/22/22 07:22:28,-34
01/22/22 07:23:28,1
01/22/22 07:24:28,0
01/22/22 07:25:28,13
01/22/22 07:26:34,26
01/22/22 07:27:34,1
01/22/22 07:28:34,-23
01/22/22 07:29:34,13
01/22/22 07:30:34,-30
01/22/22 07:31:34,-61
01/22/22 07:32:34,0
01/22/22 07:33:35,0
01/22/22 07:34:35,-17
01/22/22 07:35:35,13
01/22/22 07:36:39,0
01/22/22 07:37:42,-17
01/22/22 07:38:42,0
01/22/22 07:39:42,1
01/22/22 07:40:43,3
01/22/22 07:41:45,0
01/22/22 07:42:45,0
01/22/22 07:43:45,0
01/22/22 07:44:45,0
01/22/22 07:45:45,0
01/22/22 07:46:45,-17
01/22/22 07:47:45,0
01/22/22 07:48:45,0
01/22/22 07:49:45,4
01/22/22 07:50:49,-69
01/22/22 07:51:49,0
01/22/22 07:52:49,-3
01/22/22 07:53:51,3
01/22/22 07:54:51,-8
01/22/22 07:55:51,0
01/22/22 07:56:51,-30
01/22/22 07:57:51,0
01/22/22 07:58:51,0
01/22/22 07:59:51,0
01/22/22 08:00:51,0
01/22/22 08:01:51,0
01/22/22 08:02:51,0
01/22/22 08:03:51,0
01/22/22 08:04:51,0
01/22/22 08:05:51,0
01/22/22 08:06:51,0
01/22/22 08:07:51,0
01/22/22 08:08:51,-4
01/22/22 08:09:51,49
01/22/22 08:10:51,8
01/22/22 08:11:51,24
01/22/22 08:12:51,0
01/22/22 12:21:03,-79
01/22/22 12:22:03,12
01/22/22 12:23:03,-4
01/22/22 12:24:03,-17
01/22/22 12:25:03,-14
01/22/22 12:26:03,10
01/22/22 12:27:03,-1
01/22/22 12:28:03,18
01/22/22 12:29:03,3
01/22/22 12:30:03,-8
01/22/22 12:31:03,0
01/22/22 12:32:03,0
01/22/22 12:33:03,0
01/22/22 12:34:03,-26
01/22/22 12:35:03,8
01/22/22 12:36:03,0
01/22/22 12:37:03,0
01/22/22 12:38:03,1
01/22/22 12:39:03,0
01/22/22 12:40:03,-20
01/22/22 12:41:03,0
01/22/22 12:42:03,-11
01/22/22 12:43:03,0
01/22/22 12:44:03,-82
01/22/22 12:45:03,-11
01/22/22 12:46:03,-9
01/22/22 12:47:03,8
01/22/22 12:48:03,3
01/22/22 12:49:03,-5
01/22/22 12:50:03,0
