timestamp,Infrared to Red Signal Ratio
06/03/22 00:00:21,8
06/03/22 00:01:21,-25
06/03/22 00:02:24,7
06/03/22 00:03:24,72
06/03/22 00:04:24,0
06/03/22 00:05:24,-3
06/03/22 00:06:24,14
06/03/22 00:07:24,23
06/03/22 00:08:24,11
06/03/22 00:09:24,25
06/03/22 00:10:24,0
06/03/22 00:11:24,0
06/03/22 00:12:24,18
06/03/22 00:13:24,14
06/03/22 00:14:24,1
06/03/22 00:15:24,7
06/03/22 00:16:24,-2
06/03/22 00:17:27,18
06/03/22 00:18:27,-1
06/03/22 00:19:27,17
06/03/22 00:20:27,21
06/03/22 00:21:27,21
06/03/22 00:22:27,10
06/03/22 00:23:27,17
06/03/22 00:24:27,36
06/03/22 00:25:27,19
06/03/22 00:26:27,0
06/03/22 00:27:27,8
06/03/22 00:28:27,0
06/03/22 00:29:27,-19
06/03/22 00:30:27,-4
06/03/22 00:31:27,6
06/03/22 00:32:29,0
06/03/22 00:33:29,12
06/03/22 00:34:29,-5
06/03/22 00:35:29,-4
06/03/22 00:36:32,12
06/03/22 00:37:32,0
06/03/22 00:38:32,-23
06/03/22 00:39:32,13
06/03/22 00:40:32,0
06/03/22 00:41:32,-73
06/03/22 00:42:32,-14
06/03/22 00:43:32,-30
06/03/22 00:44:32,5
06/03/22 00:45:32,-20
06/03/22 00:46:32,0
06/03/22 00:47:32,-53
06/03/22 00:48:32,0
06/03/22 00:49:32,-34
06/03/22 00:50:32,-26
06/03/22 00:51:32,8
06/03/22 00:52:33,22
06/03/22 00:53:35,-20
06/03/22 00:54:35,8
06/03/22 00:55:35,-49
06/03/22 00:56:35,-8
06/03/22 00:57:35,-4
06/03/22 00:58:35,0
06/03/22 00:59:35,73
06/03/22 01:00:35,0
06/03/22 01:01:35,1
06/03/22 01:02:35,0
06/03/22 01:03:35,-11
06/03/22 01:04:35,25
06/03/22 01:05:35,21
06/03/22 01:06:35,-1
06/03/22 01:07:35,7
06/03/22 01:08:38,0
06/03/22 01:09:38,2
06/03/22 01:10:38,44
06/03/22 01:11:38,-1
06/03/22 01:12:38,5
06/03/22 01:13:38,-25
06/03/22 01:14:38,3
06/03/22 01:15:38,26
06/03/22 01:16:38,0
06/03/22 01:17:38,-13
06/03/22 01:18:38,8
06/03/22 01:19:38,13
06/03/22 01:20:38,4
06/03/22 01:21:40,-6
06/03/22 01:22:40,1
06/03/22 01:23:40,-19
06/03/22 01:24:40,-8
06/03/22 01:25:40,0
06/03/22 01:26:40,27
06/03/22 01:27:40,10
06/03/22 01:28:40,-39
06/03/22 01:29:40,19
06/03/22 01:30:40,7
06/03/22 01:31:40,14
06/03/22 01:32:40,-2
06/03/22 01:33:40,0
06/03/22 01:34:40,-9
06/03/22 01:35:40,21
06/03/22 01:36:43,0
06/03/22 01:37:43,30
06/03/22 01:38:43,10
06/03/22 01:39:43,8
06/03/22 01:40:43,31
06/03/22 01:41:43,-12
06/03/22 01:42:43,36
06/03/22 01:43:43,6
06/03/22 01:44:43,18
06/03/22 01:45:43,19
06/03/22 01:46:43,0
06/03/22 01:47:43,-32
06/03/22 01:48:43,0
06/03/22 01:49:43,-2
06/03/22 01:50:43,40
06/03/22 01:51:44,8
06/03/22 01:52:44,4
06/03/22 01:53:44,17
06/03/22 01:54:44,-10
06/03/22 01:55:44,0
06/03/22 01:56:44,0
06/03/22 01:57:44,8
06/03/22 01:58:44,-4
06/03/22 01:59:44,-3
06/03/22 02:00:44,-4
06/03/22 02:01:44,0
06/03/22 02:02:45,-4
06/03/22 02:03:45,-8
06/03/22 02:04:45,15
06/03/22 02:05:45,-19
06/03/22 02:06:49,-28
06/03/22 02:07:49,-21
06/03/22 02:08:49,21
06/03/22 02:09:49,10
06/03/22 02:10:49,-39
06/03/22 02:11:49,-50
06/03/22 02:12:49,-18
06/03/22 02:13:49,8
06/03/22 02:14:49,0
06/03/22 02:15:49,12
06/03/22 02:16:49,4
06/03/22 02:17:49,0
06/03/22 02:18:49,11
06/03/22 02:19:52,0
06/03/22 02:20:52,-68
06/03/22 02:21:53,0
06/03/22 02:22:53,-25
06/03/22 02:23:53,0
06/03/22 02:24:53,-29
06/03/22 02:25:53,6
06/03/22 02:26:53,-10
06/03/22 02:27:53,1
06/03/22 02:28:53,-1
06/03/22 02:29:53,-10
06/03/22 02:30:53,24
06/03/22 02:31:53,0
06/03/22 02:32:53,0
06/03/22 02:33:53,4
06/03/22 02:34:57,13
06/03/22 02:35:57,-4
06/03/22 02:36:57,-4
06/03/22 02:37:57,15
06/03/22 02:39:41,4
06/03/22 02:40:41,32
06/03/22 02:41:41,0
06/03/22 02:42:41,-6
06/03/22 02:43:41,0
06/03/22 02:44:41,29
06/03/22 02:45:41,0
06/03/22 02:46:41,36
06/03/22 02:47:41,-1
06/03/22 02:48:45,0
06/03/22 02:50:09,-4
06/03/22 02:51:09,-1
06/03/22 02:52:09,-10
06/03/22 02:53:09,0
06/03/22 02:54:09,26
06/03/22 02:55:09,4
06/03/22 02:56:09,-60
06/03/22 02:57:09,11
06/03/22 02:58:09,-58
06/03/22 02:59:09,3
06/03/22 03:00:09,21
06/03/22 03:01:09,0
06/03/22 03:02:09,-31
06/03/22 03:03:09,0
06/03/22 03:04:13,-1
06/03/22 03:05:13,16
06/03/22 03:06:13,-9
06/03/22 03:07:13,-4
06/03/22 03:08:13,-5
06/03/22 03:09:13,0
06/03/22 03:10:13,8
06/03/22 03:11:13,-23
06/03/22 03:12:13,27
06/03/22 03:13:13,0
06/03/22 03:14:13,-4
06/03/22 03:15:13,31
06/03/22 03:16:13,34
06/03/22 03:17:13,12
06/03/22 03:18:13,0
06/03/22 03:19:14,18
06/03/22 03:20:14,-3
06/03/22 03:21:14,3
06/03/22 03:22:14,-2
06/03/22 03:23:14,23
06/03/22 03:24:14,30
06/03/22 03:25:14,4
06/03/22 03:26:14,8
06/03/22 03:27:14,4
06/03/22 03:28:14,0
06/03/22 03:29:14,22
06/03/22 03:30:14,-1
06/03/22 03:31:14,3
06/03/22 03:32:14,4
06/03/22 03:33:15,9
06/03/22 03:34:15,-32
06/03/22 03:35:15,2
06/03/22 03:36:15,-10
06/03/22 03:37:15,7
06/03/22 03:38:15,-39
06/03/22 03:39:15,4
06/03/22 03:40:44,-4
06/03/22 03:41:44,-56
06/03/22 03:42:44,5
06/03/22 03:43:44,-5
06/03/22 03:44:44,0
06/03/22 03:45:44,6
06/03/22 03:46:44,-3
06/03/22 03:47:44,-29
06/03/22 03:48:47,-9
06/03/22 03:49:47,-4
06/03/22 03:50:47,47
06/03/22 03:51:47,0
06/03/22 03:52:47,10
06/03/22 03:53:47,0
06/03/22 03:54:47,41
06/03/22 03:55:47,-73
06/03/22 03:56:47,10
06/03/22 03:57:47,11
06/03/22 03:58:47,-1
06/03/22 03:59:47,-30
06/03/22 04:00:47,0
06/03/22 04:01:47,-54
06/03/22 04:03:34,0
06/03/22 04:04:34,0
06/03/22 04:05:34,0
06/03/22 04:06:34,0
06/03/22 04:07:36,-13
06/03/22 04:08:36,13
06/03/22 04:09:36,0
06/03/22 04:10:36,-37
06/03/22 04:11:36,-2
06/03/22 04:12:36,1
06/03/22 04:13:36,0
06/03/22 04:14:36,0
06/03/22 04:15:36,-8
06/03/22 04:16:36,-32
06/03/22 04:17:36,3
06/03/22 04:18:36,-36
06/03/22 04:19:36,-11
06/03/22 04:20:36,-3
06/03/22 04:21:36,12
06/03/22 04:22:39,18
06/03/22 04:23:39,-10
06/03/22 04:24:39,-17
06/03/22 04:25:39,-1
06/03/22 04:26:39,-17
06/03/22 04:27:39,-17
06/03/22 04:28:39,21
06/03/22 04:29:39,-1
06/03/22 04:30:39,4
06/03/22 04:31:39,30
06/03/22 04:32:39,-18
06/03/22 04:33:39,7
06/03/22 04:34:39,-14
06/03/22 04:35:39,-3
06/03/22 04:36:39,7
06/03/22 04:37:41,25
06/03/22 04:38:41,27
06/03/22 04:39:41,1
06/03/22 04:40:41,4
06/03/22 04:41:41,-4
06/03/22 04:42:41,-36
06/03/22 04:43:41,1
06/03/22 04:44:41,0
06/03/22 04:45:41,16
06/03/22 04:46:43,25
06/03/22 04:47:43,-34
06/03/22 04:48:43,1
06/03/22 04:49:43,-13
06/03/22 04:50:43,0
06/03/22 04:51:43,-8
06/03/22 04:52:43,5
06/03/22 04:53:43,2
06/03/22 04:54:43,0
06/03/22 04:55:43,0
06/03/22 04:56:43,10
06/03/22 04:57:45,0
06/03/22 04:58:45,15
06/03/22 04:59:46,0
06/03/22 05:00:46,-3
06/03/22 05:01:46,-2
06/03/22 05:02:46,13
06/03/22 05:03:46,-2
06/03/22 05:04:46,-5
06/03/22 05:05:46,0
06/03/22 05:06:47,-1
06/03/22 05:07:47,32
06/03/22 05:08:47,-4
06/03/22 05:09:47,0
06/03/22 05:10:47,0
06/03/22 05:11:47,17
06/03/22 05:12:47,-4
06/03/22 05:13:51,-1
06/03/22 05:14:51,-1
06/03/22 05:15:51,0
06/03/22 05:16:51,26
06/03/22 05:17:51,0
06/03/22 05:18:51,-30
06/03/22 05:19:51,0
06/03/22 05:20:51,-3
06/03/22 05:21:51,6
06/03/22 05:22:51,-6
06/03/22 05:23:51,-8
06/03/22 05:24:51,0
06/03/22 05:25:51,9
06/03/22 05:26:51,0
06/03/22 05:27:51,-21
06/03/22 05:28:52,1
06/03/22 05:29:52,-14
06/03/22 05:30:55,0
06/03/22 05:31:55,-3
06/03/22 05:32:55,-6
06/03/22 05:33:55,9
06/03/22 05:34:55,0
06/03/22 05:35:55,-4
06/03/22 05:36:55,0
06/03/22 05:37:55,-2
06/03/22 05:38:55,7
06/03/22 05:39:55,-7
06/03/22 05:40:55,-3
06/03/22 05:41:55,0
06/03/22 05:42:55,-17
06/03/22 05:43:59,-2
06/03/22 05:44:59,-16
06/03/22 05:46:01,-52
06/03/22 05:47:03,4
06/03/22 05:48:03,27
06/03/22 05:49:03,-4
06/03/22 05:50:03,17
06/03/22 05:51:08,-23
06/03/22 05:52:08,-16
06/03/22 05:53:08,-13
06/03/22 05:54:08,0
06/03/22 05:55:08,0
06/03/22 05:56:08,0
06/03/22 05:57:08,-21
06/03/22 05:58:08,-17
06/03/22 05:59:08,0
06/03/22 06:00:08,41
06/03/22 06:01:08,2
06/03/22 06:02:08,5
06/03/22 06:03:08,4
06/03/22 06:04:08,5
06/03/22 06:05:08,-2
06/03/22 06:06:08,-13
06/03/22 06:07:08,0
06/03/22 06:08:08,2
06/03/22 06:09:08,3
06/03/22 06:10:08,13
06/03/22 06:11:08,-8
06/03/22 06:12:08,7
06/03/22 06:13:08,-8
06/03/22 06:14:08,0
06/03/22 06:15:08,11
06/03/22 06:16:08,0
06/03/22 06:17:08,0
06/03/22 06:18:08,0
06/03/22 06:19:08,-1
06/03/22 06:20:08,0
06/03/22 06:21:09,14
06/03/22 08:16:00,4
06/03/22 08:17:00,0
06/03/22 08:18:02,0
06/03/22 08:19:02,-3
06/03/22 08:20:02,-7
06/03/22 08:21:02,0
06/03/22 08:22:02,0
06/03/22 08:23:07,0
06/03/22 08:24:07,-42
06/03/22 08:25:07,-4
06/03/22 08:26:07,7
06/03/22 08:27:07,-3
06/03/22 08:28:07,10
06/03/22 08:29:07,0
06/03/22 08:30:07,-2
06/03/22 08:31:07,0
06/03/22 08:32:07,0
06/03/22 08:33:07,-4
06/03/22 08:34:07,-21
06/03/22 08:35:07,0
06/03/22 08:36:07,1
06/03/22 08:37:07,-11
06/03/22 08:38:08,0
06/03/22 08:39:08,8
06/03/22 08:40:08,-17
06/03/22 08:41:08,23
06/03/22 08:42:08,1
06/03/22 08:43:08,-21
06/03/22 08:44:08,-3
06/03/22 08:45:08,-8
06/03/22 08:46:08,7
06/03/22 08:47:09,4
06/03/22 08:48:09,31
06/03/22 08:49:09,0
06/03/22 23:53:00,14
06/03/22 23:54:00,13
06/03/22 23:55:00,28
06/03/22 23:56:00,-4
06/03/22 23:57:00,31
