timestamp,Infrared to Red Signal Ratio
02/08/22 00:00:44,17
02/08/22 00:01:44,30
02/08/22 00:02:44,0
02/08/22 00:03:44,-2
02/08/22 00:04:44,-6
02/08/22 00:05:44,0
02/08/22 00:06:44,-13
02/08/22 00:07:44,0
02/08/22 00:08:44,0
02/08/22 00:09:44,31
02/08/22 00:10:44,-2
02/08/22 00:11:44,0
02/08/22 00:12:44,-10
02/08/22 00:13:44,-58
02/08/22 00:14:44,19
02/08/22 00:15:44,-12
02/08/22 00:16:44,-4
02/08/22 00:17:44,34
02/08/22 00:18:44,51
02/08/22 00:19:44,0
02/08/22 00:20:44,4
02/08/22 00:21:44,-9
02/08/22 00:22:44,18
02/08/22 00:23:44,-33
02/08/22 00:24:44,4
02/08/22 00:25:44,0
02/08/22 00:26:44,0
02/08/22 00:27:44,2
02/08/22 00:28:44,5
02/08/22 00:29:44,3
02/08/22 00:30:44,-76
02/08/22 00:31:44,9
02/08/22 00:32:44,8
02/08/22 00:33:44,-17
02/08/22 00:34:44,2
02/08/22 00:35:44,0
02/08/22 00:36:44,-12
02/08/22 00:37:44,8
02/08/22 00:38:44,0
02/08/22 00:39:44,-2
02/08/22 00:40:44,1
02/08/22 00:41:44,1
02/08/22 00:42:44,-4
02/08/22 00:43:44,27
02/08/22 00:44:44,-30
02/08/22 00:45:44,45
02/08/22 00:46:46,-2
02/08/22 00:47:46,0
02/08/22 00:48:46,0
02/08/22 00:49:46,19
02/08/22 00:50:48,3
02/08/22 00:51:48,-39
02/08/22 00:52:48,-7
02/08/22 00:53:48,-3
02/08/22 00:54:48,-59
02/08/22 00:56:24,33
02/08/22 00:57:24,-15
02/08/22 00:58:24,-10
02/08/22 00:59:24,-4
02/08/22 01:00:24,-5
02/08/22 01:01:24,4
02/08/22 01:02:24,0
02/08/22 01:03:24,17
02/08/22 01:04:24,46
02/08/22 01:05:24,4
02/08/22 01:06:24,0
02/08/22 01:07:24,38
02/08/22 01:08:24,-14
02/08/22 01:09:24,-2
02/08/22 01:10:24,37
02/08/22 01:11:24,8
02/08/22 01:12:24,45
02/08/22 01:13:24,30
02/08/22 01:14:24,0
02/08/22 01:15:24,19
02/08/22 01:16:24,0
02/08/22 01:17:24,0
02/08/22 01:18:24,2
02/08/22 01:20:21,49
02/08/22 01:21:21,-60
02/08/22 01:22:21,-4
02/08/22 01:23:21,-7
02/08/22 01:24:21,-13
02/08/22 01:25:21,0
02/08/22 01:26:21,-5
02/08/22 01:27:21,5
02/08/22 01:28:21,8
02/08/22 01:29:21,-31
02/08/22 01:30:21,-17
02/08/22 01:31:21,-10
02/08/22 01:32:21,0
02/08/22 01:33:21,8
02/08/22 01:34:21,-20
02/08/22 01:35:21,-2
02/08/22 01:36:21,18
02/08/22 01:37:21,1
02/08/22 01:38:21,-1
02/08/22 01:39:21,26
02/08/22 01:40:21,-27
02/08/22 01:41:21,34
02/08/22 01:42:21,-4
02/08/22 01:43:21,-10
02/08/22 01:44:21,-59
02/08/22 01:45:21,4
02/08/22 01:46:21,-1
02/08/22 01:47:21,4
02/08/22 01:48:21,-21
02/08/22 01:49:21,-13
02/08/22 01:50:21,-8
02/08/22 01:51:21,-36
02/08/22 01:52:21,0
02/08/22 01:53:21,1
02/08/22 01:54:21,1
02/08/22 01:55:21,-2
02/08/22 01:56:21,-4
02/08/22 01:57:21,-4
02/08/22 01:58:21,-18
02/08/22 01:59:21,11
02/08/22 02:00:21,52
02/08/22 02:01:21,-4
02/08/22 02:02:21,-11
02/08/22 02:03:21,-19
02/08/22 02:04:21,-7
02/08/22 02:05:21,-17
02/08/22 02:06:21,-43
02/08/22 02:07:21,-16
02/08/22 02:08:21,44
02/08/22 02:09:21,2
02/08/22 02:10:21,-12
02/08/22 02:11:21,-39
02/08/22 02:12:21,10
02/08/22 02:13:21,-8
02/08/22 02:14:21,-37
02/08/22 02:15:21,-3
