timestamp,Infrared to Red Signal Ratio
04/06/22 00:00:33,4
04/06/22 00:01:33,-10
04/06/22 00:02:33,-11
04/06/22 00:03:33,-9
04/06/22 00:04:33,-32
04/06/22 00:05:33,-46
04/06/22 00:06:33,-2
04/06/22 00:07:33,-21
04/06/22 00:08:33,0
04/06/22 00:09:33,-13
04/06/22 00:10:33,-6
04/06/22 00:11:33,-1
04/06/22 00:12:33,0
04/06/22 00:13:33,0
04/06/22 00:14:33,0
04/06/22 00:15:33,-18
04/06/22 00:16:33,0
04/06/22 00:17:33,0
04/06/22 00:18:33,-4
04/06/22 00:19:33,-43
04/06/22 00:20:33,-43
04/06/22 00:21:33,-21
04/06/22 00:22:33,-12
04/06/22 00:23:33,0
04/06/22 00:24:33,0
04/06/22 00:25:33,-14
04/06/22 00:26:33,-3
04/06/22 00:27:33,-34
04/06/22 00:28:33,-1
04/06/22 00:29:33,0
04/06/22 00:30:33,-6
04/06/22 00:31:33,-8
04/06/22 00:32:33,-1
04/06/22 00:33:33,4
04/06/22 00:34:33,-17
04/06/22 00:35:33,-2
04/06/22 00:36:33,-2
04/06/22 00:37:33,-2
04/06/22 00:38:33,-4
04/06/22 00:39:33,-24
04/06/22 00:40:33,-4
04/06/22 00:41:33,-30
04/06/22 00:42:33,41
04/06/22 00:43:33,18
04/06/22 00:44:33,-26
04/06/22 00:45:33,-7
04/06/22 00:46:33,-13
04/06/22 00:47:33,0
04/06/22 00:48:33,0
04/06/22 00:49:33,-60
04/06/22 00:50:33,-11
04/06/22 00:51:33,-1
04/06/22 00:52:33,0
04/06/22 00:53:33,4
04/06/22 00:54:33,6
04/06/22 00:55:33,-18
04/06/22 00:56:33,10
04/06/22 00:57:33,0
04/06/22 00:58:33,1
04/06/22 00:59:33,1
04/06/22 01:00:33,3
04/06/22 01:01:33,10
04/06/22 01:02:33,0
04/06/22 01:03:33,9
04/06/22 01:04:33,8
04/06/22 01:05:33,0
04/06/22 01:06:33,8
04/06/22 01:07:33,4
04/06/22 01:08:33,-23
04/06/22 01:09:33,-24
04/06/22 01:10:33,2
04/06/22 01:11:33,0
04/06/22 01:12:33,0
04/06/22 01:13:33,-8
04/06/22 01:14:33,-17
04/06/22 01:15:33,-5
04/06/22 01:16:33,-4
04/06/22 01:17:33,33
04/06/22 01:18:33,-42
04/06/22 01:19:33,-81
04/06/22 01:20:33,0
04/06/22 01:21:33,-48
04/06/22 01:22:33,12
04/06/22 01:23:33,0
04/06/22 01:24:33,0
04/06/22 01:25:33,24
04/06/22 01:26:33,-39
04/06/22 01:28:08,-17
04/06/22 01:29:08,41
04/06/22 01:30:08,-14
04/06/22 01:31:08,8
04/06/22 01:32:08,0
04/06/22 01:33:08,-40
04/06/22 01:34:08,1
04/06/22 01:35:08,-45
04/06/22 01:36:08,-1
04/06/22 01:37:08,0
04/06/22 01:38:08,0
04/06/22 01:39:08,0
04/06/22 01:40:08,0
04/06/22 01:41:08,8
04/06/22 01:42:34,4
04/06/22 01:43:34,0
04/06/22 01:44:34,-21
04/06/22 01:45:34,-21
04/06/22 01:46:34,0
04/06/22 01:47:34,-10
04/06/22 01:48:34,-36
04/06/22 01:49:34,5
04/06/22 01:50:34,20
04/06/22 01:51:35,15
04/06/22 01:52:35,-14
04/06/22 01:53:35,-1
04/06/22 01:54:35,0
04/06/22 01:55:35,0
04/06/22 01:56:35,0
04/06/22 01:57:35,-18
04/06/22 01:58:35,-4
04/06/22 01:59:35,0
04/06/22 02:00:35,5
04/06/22 02:01:35,-13
04/06/22 02:02:35,8
04/06/22 02:03:35,-25
04/06/22 02:04:35,-6
04/06/22 02:05:35,11
04/06/22 02:06:35,7
04/06/22 02:07:35,0
04/06/22 02:08:35,-7
04/06/22 02:09:35,13
04/06/22 02:10:35,9
04/06/22 02:11:35,-3
04/06/22 02:12:35,21
04/06/22 02:13:35,-19
04/06/22 02:14:35,0
04/06/22 02:15:35,0
04/06/22 02:16:35,-4
04/06/22 02:17:35,43
04/06/22 02:18:35,30
04/06/22 02:19:35,-11
04/06/22 02:20:35,4
04/06/22 02:21:35,6
04/06/22 02:22:35,-8
04/06/22 02:23:40,0
04/06/22 02:24:40,2
04/06/22 02:25:40,-49
04/06/22 02:26:40,0
04/06/22 02:27:40,0
04/06/22 02:28:40,13
04/06/22 02:29:40,-30
04/06/22 02:30:40,-5
04/06/22 02:31:40,8
04/06/22 02:32:40,1
04/06/22 02:33:40,0
04/06/22 02:34:40,6
04/06/22 02:35:40,-31
04/06/22 02:36:40,8
04/06/22 02:37:40,1
04/06/22 02:38:40,-2
04/06/22 02:39:40,0
04/06/22 02:40:40,0
04/06/22 02:41:40,-9
04/06/22 02:42:40,0
04/06/22 02:43:40,4
04/06/22 02:44:40,1
04/06/22 02:45:40,34
04/06/22 02:46:40,17
04/06/22 02:47:40,-8
04/06/22 02:48:40,-12
04/06/22 02:49:40,-1
04/06/22 02:50:40,-5
04/06/22 02:51:40,0
04/06/22 02:52:40,0
04/06/22 02:53:40,19
04/06/22 02:54:40,3
04/06/22 02:55:40,-1
04/06/22 02:56:40,3
04/06/22 02:57:40,-8
04/06/22 02:58:40,-3
04/06/22 02:59:40,-17
04/06/22 03:00:40,-8
04/06/22 03:01:40,-14
04/06/22 03:02:40,-7
04/06/22 03:03:40,-30
04/06/22 03:04:40,6
04/06/22 03:05:40,0
04/06/22 03:06:40,0
04/06/22 03:07:40,8
04/06/22 03:08:40,0
04/06/22 03:09:43,11
04/06/22 03:10:43,-20
04/06/22 03:11:43,4
04/06/22 03:12:43,-4
04/06/22 03:13:43,-5
04/06/22 03:14:43,-26
04/06/22 03:15:43,0
04/06/22 03:16:45,0
04/06/22 03:17:45,0
04/06/22 03:18:45,-20
04/06/22 03:19:45,0
04/06/22 03:20:45,4
04/06/22 03:21:45,0
04/06/22 03:22:45,0
04/06/22 03:23:45,-1
04/06/22 03:24:45,-16
04/06/22 03:25:45,7
04/06/22 03:26:47,0
04/06/22 03:27:47,0
04/06/22 03:28:47,3
04/06/22 03:29:47,0
04/06/22 03:30:47,20
04/06/22 03:31:47,16
04/06/22 03:32:47,29
04/06/22 03:33:47,-6
04/06/22 03:34:47,-38
04/06/22 03:36:45,-17
04/06/22 03:37:46,16
04/06/22 03:38:46,36
04/06/22 03:39:46,-14
04/06/22 03:40:46,17
04/06/22 03:41:46,-13
04/06/22 03:42:46,-47
04/06/22 03:44:45,-7
04/06/22 03:45:45,0
04/06/22 03:46:45,0
04/06/22 03:47:45,-43
04/06/22 03:49:07,1
04/06/22 03:50:07,0
04/06/22 03:51:07,1
04/06/22 03:52:07,0
04/06/22 03:53:09,11
04/06/22 03:54:09,30
04/06/22 03:55:09,21
04/06/22 03:56:11,0
04/06/22 03:57:11,-4
04/06/22 03:58:11,-13
04/06/22 03:59:11,0
04/06/22 04:00:11,-4
04/06/22 04:01:11,-47
04/06/22 04:02:11,-22
04/06/22 04:03:11,-12
04/06/22 04:04:11,-13
04/06/22 04:05:15,39
04/06/22 04:06:15,0
04/06/22 04:07:15,11
04/06/22 04:08:15,0
04/06/22 04:09:15,-20
04/06/22 04:10:15,-7
04/06/22 04:11:15,-13
04/06/22 04:13:06,-89
04/06/22 04:14:06,0
04/06/22 04:15:06,0
04/06/22 04:16:06,15
04/06/22 04:17:06,13
04/06/22 04:18:06,0
04/06/22 04:19:06,2
04/06/22 04:20:06,8
04/06/22 04:21:06,17
04/06/22 04:22:06,-3
04/06/22 04:23:06,4
04/06/22 04:24:06,-20
04/06/22 04:25:06,-3
04/06/22 04:26:06,-4
04/06/22 04:27:06,8
