timestamp,Infrared to Red Signal Ratio
05/05/22 00:00:30,0
05/05/22 00:01:30,4
05/05/22 00:02:30,6
05/05/22 00:03:30,1
05/05/22 00:04:30,-10
05/05/22 00:05:30,-1
05/05/22 00:06:30,0
05/05/22 00:07:30,-11
05/05/22 00:08:30,-8
05/05/22 00:09:30,-2
05/05/22 00:10:30,9
05/05/22 00:11:30,-28
05/05/22 00:12:30,5
05/05/22 00:13:30,0
05/05/22 00:14:30,14
05/05/22 00:15:30,-7
05/05/22 00:16:30,33
05/05/22 00:17:30,-2
05/05/22 00:18:30,5
05/05/22 00:19:30,-5
05/05/22 00:20:30,1
05/05/22 00:21:30,-2
05/05/22 00:22:30,-3
05/05/22 00:23:30,-1
05/05/22 00:24:30,-10
05/05/22 00:25:30,-28
05/05/22 00:26:30,-20
05/05/22 00:27:30,0
05/05/22 00:28:30,18
05/05/22 00:29:30,-2
05/05/22 00:30:30,26
05/05/22 00:31:32,15
05/05/22 00:32:32,2
05/05/22 00:33:32,26
05/05/22 00:34:32,-13
05/05/22 00:35:32,0
05/05/22 00:36:32,0
05/05/22 00:37:32,-26
05/05/22 00:38:32,-11
05/05/22 00:39:32,0
05/05/22 00:40:32,-42
05/05/22 00:41:32,17
05/05/22 00:42:32,9
05/05/22 00:43:32,14
05/05/22 00:44:32,0
05/05/22 00:45:32,-11
05/05/22 00:46:32,2
05/05/22 00:47:32,7
05/05/22 00:48:32,-60
05/05/22 00:49:32,24
05/05/22 00:50:32,-4
05/05/22 00:51:32,6
05/05/22 00:52:32,0
05/05/22 00:53:32,-14
05/05/22 00:54:32,0
05/05/22 00:55:32,14
05/05/22 00:56:32,0
05/05/22 00:57:32,0
05/05/22 00:58:33,-10
05/05/22 00:59:33,-1
05/05/22 01:00:33,-9
05/05/22 01:01:33,-21
05/05/22 01:02:33,0
05/05/22 01:03:33,-13
05/05/22 01:04:33,-18
05/05/22 01:05:33,0
05/05/22 01:06:33,-18
05/05/22 01:07:33,4
05/05/22 01:08:33,13
05/05/22 01:09:33,-12
05/05/22 01:10:33,0
05/05/22 01:11:33,-30
05/05/22 01:12:33,-8
05/05/22 01:13:33,-36
05/05/22 01:14:33,7
05/05/22 01:15:33,10
05/05/22 01:16:33,-30
05/05/22 01:17:33,-18
05/05/22 01:18:33,26
05/05/22 01:19:33,2
05/05/22 01:20:33,0
05/05/22 01:21:33,60
05/05/22 01:22:33,0
05/05/22 01:23:33,-13
05/05/22 01:24:33,-11
05/05/22 01:25:33,26
05/05/22 01:26:33,-16
05/05/22 01:27:33,-1
05/05/22 01:28:33,4
05/05/22 01:29:33,0
05/05/22 01:30:33,2
05/05/22 01:31:33,-17
05/05/22 01:32:33,21
05/05/22 01:33:33,0
05/05/22 01:34:33,28
05/05/22 01:35:33,-30
05/05/22 01:36:33,8
05/05/22 01:37:33,32
05/05/22 01:38:33,-1
05/05/22 01:39:33,0
05/05/22 01:40:33,10
05/05/22 01:41:33,-6
05/05/22 01:42:33,0
05/05/22 01:43:33,-21
05/05/22 01:44:33,4
05/05/22 01:45:33,1
05/05/22 01:46:33,-14
05/05/22 01:47:33,3
05/05/22 01:48:33,-29
05/05/22 01:49:33,-1
05/05/22 01:50:33,-7
05/05/22 01:51:33,-26
05/05/22 01:52:33,32
05/05/22 01:53:33,1
05/05/22 01:54:33,0
05/05/22 01:55:33,-30
05/05/22 01:56:33,43
05/05/22 01:57:33,-21
05/05/22 01:58:33,0
05/05/22 01:59:33,23
05/05/22 02:00:33,11
05/05/22 02:01:33,0
05/05/22 02:02:33,6
05/05/22 02:03:33,-30
05/05/22 02:04:33,-7
05/05/22 02:05:33,13
05/05/22 02:06:33,-5
05/05/22 02:07:33,-7
05/05/22 02:08:33,-11
05/05/22 02:09:33,0
05/05/22 02:10:33,26
05/05/22 02:11:33,-6
05/05/22 02:12:33,23
05/05/22 02:13:33,26
05/05/22 02:14:33,31
05/05/22 02:15:33,-19
05/05/22 02:16:33,0
05/05/22 02:17:33,-20
05/05/22 02:18:33,-2
05/05/22 02:19:33,-17
05/05/22 02:20:33,4
05/05/22 02:21:33,16
05/05/22 02:22:33,-3
05/05/22 02:23:33,17
05/05/22 02:24:33,-3
05/05/22 02:26:04,12
05/05/22 02:27:04,-8
05/05/22 02:28:04,-1
05/05/22 02:29:04,-6
05/05/22 02:30:04,-1
