timestamp,Infrared to Red Signal Ratio
03/08/22 00:00:38,1
03/08/22 00:01:38,-4
03/08/22 00:02:38,0
03/08/22 00:03:38,-8
03/08/22 00:04:38,0
03/08/22 00:05:38,-2
03/08/22 00:06:38,-5
03/08/22 00:07:38,-2
03/08/22 00:08:38,4
03/08/22 00:09:38,0
03/08/22 00:10:38,-30
03/08/22 00:11:38,-13
03/08/22 00:12:38,0
03/08/22 00:13:38,0
03/08/22 00:14:38,4
03/08/22 00:15:38,-34
03/08/22 00:16:38,-20
03/08/22 00:17:38,-9
03/08/22 00:18:38,0
03/08/22 00:19:38,28
03/08/22 00:20:38,4
03/08/22 00:21:38,-4
03/08/22 00:22:38,48
03/08/22 00:23:38,-18
03/08/22 00:24:38,8
03/08/22 00:25:38,-2
03/08/22 00:26:38,25
03/08/22 00:27:38,7
03/08/22 00:28:38,10
03/08/22 00:29:38,-4
03/08/22 00:30:38,0
03/08/22 00:31:38,2
03/08/22 00:32:38,-1
03/08/22 00:33:38,1
03/08/22 00:34:38,21
03/08/22 00:35:38,0
03/08/22 00:36:38,-16
03/08/22 00:37:38,-11
03/08/22 00:38:38,21
03/08/22 00:39:38,85
03/08/22 00:40:38,0
03/08/22 00:41:38,0
03/08/22 00:42:38,0
03/08/22 00:43:38,0
03/08/22 00:44:38,0
03/08/22 00:45:38,0
03/08/22 00:46:38,0
03/08/22 00:47:42,-50
03/08/22 00:48:42,-36
03/08/22 00:49:42,9
03/08/22 00:50:42,3
03/08/22 00:51:42,0
03/08/22 00:52:42,0
03/08/22 00:53:42,0
03/08/22 00:54:42,17
03/08/22 00:55:44,4
03/08/22 00:56:44,-10
03/08/22 00:57:44,0
03/08/22 00:58:44,0
03/08/22 00:59:44,32
03/08/22 01:00:47,0
03/08/22 01:01:47,0
03/08/22 01:02:47,0
03/08/22 01:03:47,0
03/08/22 01:04:47,0
03/08/22 01:05:47,3
03/08/22 01:06:47,0
03/08/22 01:07:47,0
03/08/22 01:08:47,-10
03/08/22 01:09:47,0
03/08/22 01:10:47,-13
03/08/22 01:11:47,46
03/08/22 01:12:47,-3
03/08/22 01:13:47,-34
03/08/22 01:14:47,2
03/08/22 01:15:47,17
03/08/22 01:16:47,24
03/08/22 01:17:47,-21
03/08/22 01:18:47,0
03/08/22 01:19:47,0
03/08/22 01:20:47,-21
03/08/22 01:21:47,-3
03/08/22 01:22:47,0
03/08/22 01:23:47,0
03/08/22 01:24:47,28
03/08/22 01:25:47,4
03/08/22 01:26:47,0
03/08/22 01:27:47,-8
03/08/22 01:28:47,-25
03/08/22 01:29:47,1
03/08/22 01:30:47,0
03/08/22 01:31:47,-17
03/08/22 01:32:47,4
03/08/22 01:33:47,-4
03/08/22 01:34:47,-1
03/08/22 01:35:59,-43
03/08/22 01:36:59,0
03/08/22 01:37:59,0
03/08/22 01:38:59,-34
03/08/22 01:39:59,-18
03/08/22 01:40:59,-8
03/08/22 01:41:59,-27
03/08/22 01:42:59,-6
03/08/22 01:43:59,-12
03/08/22 01:44:59,-3
03/08/22 01:45:59,-7
03/08/22 01:46:59,-17
03/08/22 01:47:59,0
03/08/22 01:48:59,-4
03/08/22 01:49:59,-12
03/08/22 01:50:59,0
03/08/22 01:51:59,2
03/08/22 01:52:59,-5
03/08/22 01:53:59,-1
03/08/22 01:54:59,36
03/08/22 01:55:59,0
03/08/22 01:56:59,4
03/08/22 01:57:59,-6
03/08/22 01:58:59,5
03/08/22 02:00:01,5
03/08/22 02:01:01,10
03/08/22 02:02:01,-4
03/08/22 02:03:02,7
03/08/22 02:04:02,0
03/08/22 02:05:02,-25
03/08/22 02:06:02,3
03/08/22 02:07:02,-4
03/08/22 02:08:03,12
03/08/22 02:09:03,0
03/08/22 02:10:03,0
03/08/22 02:11:03,-29
03/08/22 02:12:03,25
03/08/22 02:13:03,0
03/08/22 02:14:03,3
03/08/22 02:15:03,-19
03/08/22 02:16:03,-30
03/08/22 02:17:03,0
03/08/22 02:18:03,-13
03/08/22 02:19:03,0
03/08/22 02:20:03,23
03/08/22 02:21:03,-25
03/08/22 02:22:03,-4
03/08/22 02:23:03,-4
03/08/22 02:24:03,2
03/08/22 02:25:03,-2
03/08/22 02:26:03,-2
03/08/22 02:27:03,-8
03/08/22 02:28:03,6
03/08/22 02:29:03,9
03/08/22 02:30:03,-46
03/08/22 02:31:03,11
03/08/22 02:32:03,0
03/08/22 02:33:03,0
03/08/22 02:34:03,-13
03/08/22 02:35:03,-8
03/08/22 02:36:03,9
03/08/22 02:37:03,0
03/08/22 02:38:03,0
03/08/22 02:39:03,5
03/08/22 02:40:03,0
03/08/22 02:41:03,-26
03/08/22 02:42:03,0
03/08/22 02:43:03,6
03/08/22 02:44:03,-11
03/08/22 02:45:03,2
03/08/22 02:46:03,3
03/08/22 02:47:03,-7
03/08/22 02:48:03,-6
03/08/22 02:49:03,3
03/08/22 02:50:03,0
03/08/22 02:51:03,36
03/08/22 02:52:03,0
03/08/22 02:53:03,0
03/08/22 02:54:03,-6
03/08/22 02:55:03,0
03/08/22 02:56:03,-7
03/08/22 02:57:03,-7
03/08/22 02:58:03,0
03/08/22 02:59:03,0
03/08/22 03:00:03,1
03/08/22 03:01:03,-2
03/08/22 03:02:03,0
03/08/22 03:03:03,-28
03/08/22 03:04:03,13
03/08/22 03:05:03,0
03/08/22 03:06:03,0
03/08/22 03:07:03,4
03/08/22 03:08:03,0
03/08/22 03:09:03,10
03/08/22 03:10:03,2
03/08/22 03:11:03,0
03/08/22 03:12:03,0
03/08/22 03:13:03,-2
03/08/22 03:14:03,0
03/08/22 03:15:03,4
03/08/22 03:16:03,-3
03/08/22 03:17:03,53
03/08/22 03:18:05,0
03/08/22 03:19:05,-17
03/08/22 03:20:05,-4
03/08/22 03:21:05,-34
03/08/22 03:22:05,-10
03/08/22 03:23:05,-41
03/08/22 03:24:05,17
03/08/22 03:25:05,6
03/08/22 03:26:05,0
03/08/22 03:27:05,-8
03/08/22 03:28:05,0
03/08/22 03:29:05,13
03/08/22 03:30:05,8
03/08/22 03:31:05,-26
03/08/22 03:32:05,0
03/08/22 03:33:05,-15
03/08/22 03:34:05,0
03/08/22 03:35:05,6
03/08/22 03:36:05,0
03/08/22 03:37:05,-3
03/08/22 03:38:05,17
03/08/22 03:39:05,-4
03/08/22 03:40:05,0
03/08/22 03:41:05,-4
03/08/22 03:42:05,-1
03/08/22 03:43:05,-8
03/08/22 03:44:05,0
03/08/22 03:45:05,0
03/08/22 03:46:05,0
03/08/22 03:47:05,-21
03/08/22 03:48:05,0
03/08/22 03:49:05,0
03/08/22 03:50:05,-72
03/08/22 03:51:05,0
03/08/22 03:52:05,0
03/08/22 03:53:05,-5
03/08/22 03:54:05,0
03/08/22 03:55:05,-2
03/08/22 03:56:05,-6
03/08/22 03:57:05,11
03/08/22 03:58:05,0
03/08/22 03:59:05,26
03/08/22 04:00:05,12
03/08/22 04:01:05,0
03/08/22 04:02:05,2
03/08/22 04:03:05,11
