timestamp,Infrared to Red Signal Ratio
02/03/22 00:00:53,0
02/03/22 00:01:53,2
02/03/22 00:02:53,2
02/03/22 00:03:53,0
02/03/22 00:04:53,-4
02/03/22 00:05:53,-52
02/03/22 00:06:53,2
02/03/22 00:07:55,0
02/03/22 00:08:55,0
02/03/22 00:09:55,1
02/03/22 00:10:55,-1
02/03/22 00:11:55,14
02/03/22 00:12:55,15
02/03/22 00:13:55,0
02/03/22 00:14:55,0
02/03/22 00:15:55,4
02/03/22 00:16:55,0
02/03/22 00:17:55,-9
02/03/22 00:18:55,0
02/03/22 00:19:55,0
02/03/22 00:20:55,-6
02/03/22 00:21:55,-21
02/03/22 00:22:55,4
02/03/22 00:23:55,12
02/03/22 00:24:55,0
02/03/22 00:25:55,-3
02/03/22 00:26:55,0
02/03/22 00:27:55,20
02/03/22 00:28:55,4
02/03/22 00:29:55,8
02/03/22 00:30:55,1
02/03/22 00:31:55,-6
02/03/22 00:32:55,18
02/03/22 00:33:55,14
02/03/22 00:34:55,8
02/03/22 00:35:55,18
02/03/22 00:36:55,23
02/03/22 00:37:55,41
02/03/22 00:38:55,0
02/03/22 00:39:57,21
02/03/22 00:40:57,-68
02/03/22 00:41:57,2
02/03/22 00:42:57,-23
02/03/22 00:43:57,-7
02/03/22 00:44:57,13
02/03/22 00:45:57,0
02/03/22 00:46:57,0
02/03/22 00:47:57,-17
02/03/22 00:48:57,17
02/03/22 00:49:57,27
02/03/22 00:50:57,-13
02/03/22 00:51:57,6
02/03/22 00:52:57,24
02/03/22 00:53:57,-11
02/03/22 00:54:57,-12
02/03/22 00:55:57,-30
02/03/22 00:56:57,0
02/03/22 00:57:57,0
02/03/22 00:58:57,-42
02/03/22 00:59:57,-3
02/03/22 01:00:57,0
02/03/22 01:01:57,0
02/03/22 01:02:57,44
02/03/22 01:03:57,-11
02/03/22 01:04:57,6
02/03/22 01:05:57,-7
02/03/22 01:06:57,-6
02/03/22 01:07:57,2
02/03/22 01:08:57,4
02/03/22 01:09:57,9
02/03/22 01:10:57,-3
02/03/22 01:11:57,-14
02/03/22 01:12:57,-68
02/03/22 01:13:57,10
02/03/22 01:14:57,17
02/03/22 01:15:57,12
02/03/22 01:16:57,-27
02/03/22 01:17:57,11
02/03/22 01:18:57,8
02/03/22 01:19:57,40
02/03/22 01:20:57,-42
02/03/22 01:21:57,-10
02/03/22 01:22:57,-1
02/03/22 01:23:57,2
02/03/22 01:24:57,0
02/03/22 01:25:57,2
02/03/22 01:26:57,0
02/03/22 01:27:57,13
02/03/22 01:28:57,33
02/03/22 01:29:57,5
02/03/22 01:30:57,20
02/03/22 01:31:57,-4
02/03/22 01:32:57,-1
02/03/22 01:33:57,-21
02/03/22 01:34:57,-7
02/03/22 01:35:57,-56
02/03/22 01:36:57,-8
02/03/22 01:37:57,2
02/03/22 01:38:57,2
02/03/22 01:39:57,0
02/03/22 01:40:57,-1
02/03/22 01:41:57,-23
02/03/22 01:42:57,0
02/03/22 01:43:57,13
02/03/22 01:44:57,0
02/03/22 01:45:57,-1
02/03/22 01:46:57,13
02/03/22 01:47:57,-25
02/03/22 01:48:57,-14
02/03/22 01:49:57,0
02/03/22 01:50:57,6
02/03/22 01:51:57,0
02/03/22 01:52:57,9
02/03/22 01:53:57,-6
02/03/22 01:54:57,13
02/03/22 01:55:57,-5
02/03/22 01:56:57,-6
02/03/22 01:57:57,2
02/03/22 01:58:57,0
02/03/22 01:59:57,-6
02/03/22 02:00:57,-5
02/03/22 02:01:57,15
02/03/22 02:02:57,35
02/03/22 02:03:57,0
02/03/22 02:04:57,1
02/03/22 02:05:57,2
02/03/22 02:06:57,-6
02/03/22 02:07:57,36
02/03/22 02:08:57,0
02/03/22 02:09:57,0
02/03/22 02:10:57,20
02/03/22 02:11:57,47
02/03/22 02:12:57,0
02/03/22 02:13:57,31
02/03/22 02:14:57,2
02/03/22 02:15:57,-43
02/03/22 02:16:57,0
02/03/22 02:17:57,0
02/03/22 02:18:57,-4
02/03/22 02:19:57,-1
02/03/22 02:20:57,-8
02/03/22 02:21:57,-13
02/03/22 02:22:57,-42
02/03/22 02:23:57,3
02/03/22 02:24:57,-17
02/03/22 02:25:57,0
02/03/22 02:26:57,0
02/03/22 02:27:57,-5
02/03/22 02:28:57,-16
02/03/22 02:29:57,21
02/03/22 02:30:57,0
02/03/22 02:31:57,-1
02/03/22 02:32:57,-24
02/03/22 02:33:57,-2
02/03/22 02:34:57,-30
02/03/22 02:35:57,9
02/03/22 02:36:57,-6
02/03/22 02:37:57,2
