timestamp,Infrared to Red Signal Ratio
04/07/22 00:00:01,-70
04/07/22 00:01:01,-48
04/07/22 00:02:01,6
04/07/22 00:03:01,0
04/07/22 00:04:01,15
04/07/22 00:05:01,0
04/07/22 00:06:01,19
04/07/22 00:07:01,0
04/07/22 00:08:01,20
04/07/22 00:09:01,0
04/07/22 00:10:01,-69
04/07/22 00:11:01,20
04/07/22 00:12:01,2
04/07/22 00:13:01,-5
04/07/22 00:14:01,0
04/07/22 00:15:01,0
04/07/22 00:16:01,-1
04/07/22 00:17:01,0
04/07/22 00:18:01,-14
04/07/22 00:19:01,-21
04/07/22 00:20:01,0
04/07/22 00:21:01,16
04/07/22 00:22:01,-6
04/07/22 00:23:01,-21
04/07/22 00:24:01,-47
04/07/22 00:25:02,21
04/07/22 00:26:02,-2
04/07/22 00:27:02,3
04/07/22 00:28:02,4
04/07/22 00:29:02,0
04/07/22 00:30:02,-25
04/07/22 00:31:02,-12
04/07/22 00:32:02,-1
04/07/22 00:33:02,-21
04/07/22 00:34:02,-20
04/07/22 00:35:02,22
04/07/22 00:36:02,0
04/07/22 00:37:02,17
04/07/22 00:38:02,0
04/07/22 00:39:02,8
04/07/22 00:40:02,0
04/07/22 00:41:02,0
04/07/22 00:42:02,22
04/07/22 00:43:02,21
04/07/22 00:44:02,0
04/07/22 00:45:02,1
04/07/22 00:46:02,1
04/07/22 00:47:02,-3
04/07/22 00:48:02,0
04/07/22 00:49:02,-17
04/07/22 00:50:02,-3
04/07/22 00:51:02,0
04/07/22 00:52:02,7
04/07/22 00:53:02,-1
04/07/22 00:54:02,-6
04/07/22 00:55:02,4
04/07/22 00:56:02,-13
04/07/22 00:57:02,11
04/07/22 00:58:02,-1
04/07/22 00:59:02,17
04/07/22 01:00:02,0
04/07/22 01:01:02,17
04/07/22 01:02:02,-17
04/07/22 01:03:02,-7
04/07/22 01:04:02,-1
04/07/22 01:05:02,0
04/07/22 01:06:02,36
04/07/22 01:07:02,23
04/07/22 01:08:02,2
04/07/22 01:09:02,8
04/07/22 01:10:02,-5
04/07/22 01:11:02,0
